0,1,2,3,4,5
房间,фанг йиан,фанг чиен,фарнг йиан,фан цзянь,фанг йиан
房子,фанг зи,фанг зи,фарнг зи,фан цзы,фанг зи
放,фанг,фанг,фанк,фан,фанг
放假,фанг йиа,фанг чиа,фанк йиах,фан цзя,фанг йиа
放学,фанг xуе,фанг хсуех,фанк шыуе,фан сюэ,фанг xуу
飞,феи,феи,феи,фэй,феи
飞机,феи йи,феи чи,феи йи,фэй цзи,феи йи
非常,феи чанг,феи чанг,феи чарнг,фэй чан,феи чанг
分,фен,фен,фен,фэнь,фен
风,фенг,фенг,фенг,фэн,фенг
干,ган,кан,ган,гань,ган
干净,ган йинг,кан чинг,ган йинк,гань цзин,ган йинг
干什么,ган ши ыао,кан шен ме,ганн шерн ме,гань ши яо,ган ши ме
高,гао,као,гау,гао,гао
高兴,гао xинг,као хсинг,гау шинк,гао син,гао xинг
哥哥,ге ге,ко ге,ге ге,гэ гэ,ге ге
哥,ге,ко,ге,гэ,ге
歌,ге,ко,ге,гэ,ге
个,ге,ко,гех,гэ,ге
给,геи,кеи,гееи,гэй,геи
跟,ген,кен,ген,гэнь,ген
工人,гонг рен,кунг йен,гонг рен,гун жэнь,гонг рен
工作,гонг зуо,кунг цо,гонг тзуох,гун цзо,гонг цзо
关,гуан,куан,гуан,гуань,гуан
关上,гуан шанг,куан шанг,гуан шанк,гуань шан,гуан шанг
贵,гуи,куеи,гуеы,гуй,гуе
国,гуо,куо,гуоо,го,гуо
国家,гуо йиа,куо чиа,гуоо йиа,го цзя,гуо йиа
国外,гуо уоаи,куо уоаи,гуоо уоаы,го вай,гуо уоаи
还是,хуан ши,хаи ши,хаир ши,хуань ши,хуан ши
还有,хуан ыоу,хаи ыу,хаир ыеоу,хуань ю,хуан ыо
孩子,хаи зи,хаи зи,хаир зи,хай цзы,хаи зи
汉语,хан ыу,хан ыу,ханн ыеу,хань юй,хан ыу
汉字,хан зи,хан тзу,ханн тзых,хань цзы,хан тзы
好,хао,хао,хао,хао,хао
好吃,хао чи,хао чих,хао чы,хао чи,хао чи
好看,хао кан,хао кан,хао канн,хао кань,хао кан
好听,хао тинг,хао тинг,хао тинг,хао тин,хао тинг
好玩儿,хао уоан ер,хао уоан р,хао уоан р,хао вань эр,хао уоан рр
号,хао,хао,хауо,хао,хао
喝,хе,хо,хе,хэ,хе
和,хе,хо,хер,хэ,хе
很,хен,хен,хеен,хэнь,хен
后,хоу,хоу,хоуо,хоу,хоу
后天,хоу тиан,хоу тиен,хоуо тиан,хоу тянь,хоу тиан
花,хуа,хуа,хуа,хуа,хуа
话,хуа,хуа,хуах,хуа,хуа
坏,хуаи,хуаи,хуаы,хуай,хуаи
还,хуан,хуан,хуоан,хуань,хуан
回,хуи,хуи,хуоеи,хуэй,хуи
回答,хуи да,хуи та,хуоеи дар,хуэй да,хуи да
回到,хуи дао,хуи тао,хуоеи дауо,хуэй дао,хуи дао
回家,хуи йиа,хуи чиа,хуоеи йиа,хуэй цзя,хуи йиа
会,хуи,хуи,хуеы,хуэй,хуи
火车,хуо че,хуо че,хуоо че,хо чэ,хуо че
机场,йи чанг,чи чанг,йи чаанг,цзи чан,йи чанг
机票,йи пиао,чи пиао,йи пиауо,цзи пяо,йи пиао
鸡蛋,йи дан,чи тан,йи данн,цзи дань,йи дан
几,йи,чи,йии,цзи,йи
记,йи,чи,йих,цзи,йи
家,йиа,чиа,йиа,цзя,йиа
家里,йиа ли,чиа ли,йиа лии,цзя ли,йиа ли
家人,йиа рен,чиа йен,йиа рен,цзя жэнь,йиа рен
间,йиан,чиен,йиан,цзянь,йиан
见,йиан,чиен,йианн,цзянь,йиан
见面,йиан миан,чиен миен,йианн мианн,цзянь мянь,йиан миан
教,йиао,чиао,йиау,цзяо,йиао
叫,йиао,чиао,йиауо,цзяо,йиао
教学楼,йиао xуе лоу,чиао хсуех лоу,йиауо шыуе лоу,цзяо сюэ лоу,йиао xуу лоу
姐姐,йие йие,чиех йие,йиее йие,цзе цзе,йие йие
介绍,йие шао,чиех шао,йиех шауо,цзе шао,йие шао
今年,йин ниан,чин ниен,йин ниан,цзинь нянь,йин ниан
今天,йин тиан,чин тиен,йин тиан,цзинь тянь,йин тиан
进,йин,чин,йинн,цзинь,йин
进来,йин лаи,чин лаи,йинн лаи,цзинь лай,йин лаи
进去,йин ку,чин чу,йинн чиух,цзинь цюй,йин чу
九,йиу,чиу,йеоу,цзю,йиу
就,йиу,чиу,йиоуо,цзю,йиу
觉得,юе де,чуех де,йыуе де,цзюэ дэ,юе де
开,каи,каи,каи,кай,каи
开车,каи че,каи че,каи че,кай чэ,каи че
开会,каи хуи,каи хуи,каи хуеы,кай хуэй,каи хуи
开玩笑,каи уоан xиао,каи уоан хсиао,каи уоан шиауо,кай вань сяо,каи уоан xиао
看病,кан бинг,кан пинг,канн бинк,кань бин,кан бинг
看到,кан дао,кан тао,канн дауо,кань дао,кан дао
看见,кан йиан,кан чиен,канн йианн,кань цзянь,кан йиан
考,као,као,као,као,као
考试,као ши,као ших,као шых,као ши,као ши
渴,ке,ко,кее,кэ,ке
课,ке,ко,кех,кэ,ке
课本,ке бен,ко пен,кех беен,кэ бэнь,ке бен
课文,ке уоен,ко уоен,кех уоен,кэ вэнь,ке уоен
口,коу,коу,кооу,коу,коу
块,куаи,куаи,куаы,куай,куаи
快,куаи,куаи,куаы,куай,куаи
来,лаи,лаи,лаи,лай,лаи
来到,лаи дао,лаи тао,лаи дауо,лай дао,лаи дао
老,лао,лао,лао,лао,лао
老人,лао рен,лао йен,лао рен,лао жэнь,лао рен
老师,лао ши,лао ших,лао шы,лао ши,лао ши
了,ле,ле,ле,лэ,ле
累,леи,леи,леы,лэй,леи
冷,ленг,ленг,леенг,лэн,ленг
里,ли,ли,лии,ли,ли
两,лианг,лианг,леанг,лян,лиан
零,линг,линг,линг,лин,линг
六,лиу,лиу,лиоуо,лю,лиу
楼,лоу,лоу,лоу,лоу,лоу
楼上,лоу шанг,лоу шанг,лоу шанк,лоу шан,лоу шанг
楼下,лоу xиа,лоу хсиа,лоу шиах,лоу ся,лоу xиа
路,лу,лу,лух,лу,лу
路口,лу коу,лу коу,лух кооу,лу коу,лу коу
妈妈,ма ма,ма ма,мха ма,ма ма,ма ма
妈,ма,ма,мха,ма,ма
马路,ма лу,ма лу,маа лух,ма лу,ма лу
马上,ма шанг,ма шанг,маа шанк,ма шан,ма шанг
买,маи,маи,мае,май,маи
慢,ман,ман,манн,мань,ман
忙,манг,манг,манг,ман,манг
毛,мао,мао,мау,мао,мао
没,меи,меи,меи,мэй,меи
没关系,меи гуан xи,меи куан xи,меи гуан xи,мэй гуань си,меи гуан xи
没什么,меи ши ыао,меи шен ме,меи шерн ме,мэй ши яо,меи ши ме
没事儿,меи ши ер,меи ших р,меи шых р,мэй ши эр,меи ши рр
没有,меи ыоу,меи ыу,меи ыеоу,мэй ю,меи ыо
妹妹,меи меи,меи меи,меы меи,мэй мэй,меи меи
妹,меи,меи,меы,мэй,меи
门,мен,мен,мен,мэнь,мен
门口,мен коу,мен коу,мен кооу,мэнь коу,мен коу
门票,мен пиао,мен пиао,мен пиауо,мэнь пяо,мен пиао
米饭,ми фан,ми фан,мии фанн,ми фань,ми фан
面包,миан бао,миен пао,мианн бау,мянь бао,миан бао
面条儿,миан тиао ер,миен тиао р,мианн тыау р,мянь тяо эр,миан тиао рр
名字,минг зи,минг зи,минг зи,мин цзы,минг зи
明白,минг баи,минг баи,минг баи,мин бай,минг баи
明年,минг ниан,минг ниен,минг ниан,мин нянь,минг ниан
明天,минг тиан,минг тиен,минг тиан,мин тянь,минг тиан
拿,на,на,на,на,на
哪,на,на,наа,на,на
哪里,на ли,на ли,наа лии,на ли,на ли
哪儿,на ер,на р,наа р,на эр,на рр
哪些,на xие,на хсиех,наа шие,на се,на xие
那儿,на ер,на р,нах р,на эр,на рр
那些,на xие,на хсиех,нах шие,на се,на xие
奶,наи,наи,нае,най,наи
奶奶,наи наи,наи наи,нае наи,най най,наи наи
男孩儿,нан хаи ер,нан хаи р,нан хаир р,хай эр,нан хаи р
男生,нан шенг,нан шенг,нан шенг,шэн,нан шен
呢,ни,не,не,ни,ни
能,ненг,ненг,ненг,нэн,ненг
你,ни,ни,нии,ни,ни
你们,ни мен,ни мен,нии мен,ни мэнь,ни мен
年,ниан,ниен,ниан,нянь,ниан
您,нин,нин,нин,нинь,нин
牛奶,ниу наи,ниу наи,ниоу нае,ню най,ниу наи
旁边,панг биан,панг пиен,парнг биан,пан бянь,панг биан
朋友,пенг ыоу,пенг ыоу,пернг ыоу,пэн ю,пенг ыо
票,пиао,пиао,пиауо,пяо,пиао
七,ки,чи,чи,ци,чи
起,ки,чи,чии,ци,чи
起床,ки чуанг,чи чуанг,чии чуоанг,ци чуан,чи чуанг
汽车,ки че,чи че,чих че,ци чэ,чи че
前,киан,чиен,чыан,цянь,чиан
前天,киан тиан,чиен тиен,чыан тиан,цянь тянь,чиан тиан
钱,киан,чиен,чыан,цянь,чиан
钱包,киан бао,чиен пао,чыан бау,цянь бао,чиан бао
请,кинг,чинг,чиинг,цин,чинг
请假,кинг йиа,чинг чиа,чиинг йиах,цин цзя,чинг йиа
请进,кинг йин,чинг чин,чиинг йинн,цин цзинь,чинг йин
请问,кинг уоен,чинг уоен,чиинг уоенн,цин вэнь,чинг уоен
请坐,кинг зуо,чинг цо,чиинг тзуох,цин цзо,чинг цзо
球,киу,чиу,чыоу,цю,чиу
去,ку,чу,чиух,цюй,чу
去年,ку ниан,чу ниен,чиух ниан,цюй нянь,чу ниан
热,ре,йе,рех,жэ,ре
人,рен,йен,рен,жэнь,рен
认识,рен ши,йен ши,ренн ши,жэнь ши,рен ши
认真,рен жен,йен чен,ренн йен,жэнь чжэнь,рен чен
日,ри,йих,рых,жи,ри
日期,ри ки,йих чи,рых чи,жи ци,ри чи
肉,роу,йоу,роуо,жоу,роу
三,сан,сан,сан,сань,сан
山,шан,шан,шан,шань,шан
商场,шанг чанг,шанг чанг,шанг чаанг,шан чан,шанг чанг
商店,шанг диан,шанг тиен,шанг дианн,шан дянь,шанг диан
上,шанг,шанг,шанк,шан,шанг
上班,шанг бан,шанг пан,шанк бан,шан бань,шанг бан
上车,шанг че,шанг че,шанк че,шан чэ,шанг че
上次,шанг ци,шанг тзу,шанк цых,шан цы,шанг цы
上课,шанг ке,шанг ко,шанк кех,шан кэ,шанг ке
上网,шанг уоанг,шанг уоанг,шанк уооанг,шан ван,шанг уоанг
上午,шанг уоу,шанг уоу,шанк уоуу,шан у,шанг уоу
上学,шанг xуе,шанг хсуех,шанк шыуе,шан сюэ,шанг xуу
少,шао,шао,шао,шао,шао
谁,шуи,шеи,шеир,шуй,шуи
身体,шен ти,шен ти,шен тии,шэнь ти,шен ти
什么,ши ыао,шен ме,шерн ме,ши яо,ши ме
生病,шенг бинг,шенг пинг,шенг бинк,шэн бин,шенг бинг
生气,шенг ки,шенг чи,шенг чих,шэн ци,шенг чи
生日,шенг ри,шенг йих,шенг рых,шэн жи,шенг ри
十,ши,ших,шыр,ши,ши
时候,ши хоу,ших хоу,шыр хоу,ши хоу,ши хоу
时间,ши йиан,ших чиен,шыр йиан,ши цзянь,ши йиан
事,ши,ших,шых,ши,ши
试,ши,ших,шых,ши,ши
是,ши,ших,шых,ши,ши
手,шоу,шоу,шооу,шоу,шоу
手机,шоу йи,шоу чи,шооу йи,шоу цзи,шоу йи
书,шу,шу,шу,шу,шу
书包,шу бао,шу пао,шу бау,шу бао,шу бао
书店,шу диан,шу тиен,шу дианн,шу дянь,шу диан
树,шу,шу,шух,шу,шу
水,шуи,шуи,шоеи,шуй,шуи
水果,шуи гуо,шуи куо,шоеи гуоо,шуй го,шуи гуо
睡,шуи,шуи,шуеы,шуй,шуи
睡觉,шуи юе,шуи чиао,шуеы йиауо,шуй цзюэ,шуи юиа
说话,шуо хуа,шуо хуа,шуо хуах,шо хуа,шуо хуа
四,си,ссу,сых,сы,сы
送,сонг,сунг,сонк,сун,сонг
岁,суи,суи,суеы,суй,суи
他,та,та,та,та,та
他们,та мен,та мен,та мен,та мэнь,та мен
她,та,та,та,та,та
她们,та мен,та мен,та мен,та мэнь,та мен
太,таи,таи,таы,тай,таи
天,тиан,тиен,тиан,тянь,тиан
天气,тиан ки,тиен чи,тиан чих,тянь ци,тиан чи
听,тинг,тинг,тинг,тин,тинг
听到,тинг дао,тинг тао,тинг дауо,тин дао,тинг дао
听见,тинг йиан,тинг чиен,тинг йианн,тин цзянь,тинг йиан
听写,тинг xие,тинг хсиех,тинг шиее,тин се,тинг xие
同学,тонг xуе,тунг хсуех,торнг шыуе,тун сюэ,тонг xуу
图书馆,ту шу гуан,ту шу куан,туоу шу гоан,ту шу гуань,ту шу гуан
外,уоаи,уоаи,уоаы,вай,уоаи
外国,уоаи гуо,уоаи куо,уоаы гуоо,вай го,уоаи гуо
外语,уоаи ыу,уоаи ыу,уоаы ыеу,вай юй,уоаи ыу
玩儿,уоан ер,уоан р,уоан р,вань эр,уоан рр
晚,уоан,уоан,уооан,вань,уоан
晚饭,уоан фан,уоан фан,уооан фанн,вань фань,уоан фан
晚上,уоан шанг,уоан шанг,уооан шанг,вань шан,уоан шанг
网上,уоанг шанг,уоанг шанг,уооанг шанк,ван шан,уоанг шанг
网友,уоанг ыоу,уоанг ыу,уооанг ыеоу,ван ю,уоанг ыо
忘,уоанг,уоанг,уоанк,ван,уоан
忘记,уоанг йи,уоанг чи,уоанк йих,ван цзи,уоан йи
问,уоен,уоен,уоенн,вэнь,уоен
我,уоо,уоо,уооо,во,уоо
我们,уоо мен,уоо мен,уооо мен,во мэнь,уоо мен
五,уоу,уоу,уоуу,у,уоу
午饭,уоу фан,уоу фан,уоуу фанн,у фань,уоу фан
西,xи,хси,ши,си,xи
西边,xи биан,хси пиен,ши биан,си бянь,xи биан
洗,xи,хси,шии,си,xи
洗手间,xи шоу йиан,хси шоу чиен,шии шооу йиан,си шоу цзянь,xи шоу йиан
喜欢,xи хуан,хси хуан,шии хуан,си хуань,xи хуан
下,xиа,хсиа,шиах,ся,xиа
下班,xиа бан,хсиа пан,шиах бан,ся бань,xиа бан
下车,xиа че,хсиа че,шиах че,ся чэ,xиа че
下次,xиа ци,хсиа тзу,шиах цых,ся цы,xиа цы
下课,xиа ке,хсиа ко,шиах кех,ся кэ,xиа ке
下午,xиа уоу,хсиа уоу,шиах уоуу,ся у,xиа уоу
下雨,xиа ыу,хсиа ыу,шиах ыеу,ся юй,xиа ыу
先,xиан,хсиен,шиан,сянь,xиан
先生,xиан шенг,хсиен шенг,шиан шенг,сянь шэн,xиан шенг
现在,xиан заи,хсиен цаи,шианн тзаы,сянь цзай,xиан цаи
想,xианг,хсианг,шеанг,сян,xианг
小,xиао,хсиао,шеау,сяо,xиао
小孩儿,xиао хаи ер,хсиао хаи р,шеау хаир р,сяо хай эр,xиао хаи рр
小朋友,xиао пенг ыоу,хсиао пенг ыу,шеау пернг ыеоу,сяо пэн ю,xиао пенг ыо
小时,xиао ши,хсиао ших,шеау шыр,сяо ши,xиао ши
小学,xиао xуе,хсиао хсуех,шеау шыуе,сяо сюэ,xиао xуу
小学生,xиао xуе шенг,хсиао хсуех шенг,шеау шыуе шенг,сяо сюэ шэн,xиао xуу шенг
笑,xиао,хсиао,шиауо,сяо,xиао
写,xие,хсиех,шиее,се,xие
谢谢,xие xие,хсиех xие,шиех xие,се се,xие xие
新,xин,хсин,шин,синь,xин
新年,xин ниан,хсин ниен,шин ниан,синь нянь,xин ниан
星期,xинг ки,хсинг чи,шинг чи,син ци,xинг чи
星期日,xинг ки ри,хсинг чи йих,шинг чи рых,син ци жи,xинг чи ри
星期天,xинг ки тиан,хсинг чи тиен,шинг чи тиан,син ци тянь,xинг чи тиан
行,xинг,хсинг,шынг,син,xинг
休息,xиу xи,хсиу xи,шиоу xи,сю си,xиу xи
学,xуе,хсуех,шыуе,сюэ,xуу
学生,xуе шенг,хсуех шенг,шыуе шенг,сюэ шэн,xуу шенг
学习,xуе xи,хсуех хси,шыуе шыи,сюэ си,xуу xи
学校,xуе xиао,хсуех хсиао,шыуе шиауо,сюэ сяо,xуу xиао
学院,xуе ыуан,хсуех ыуан,шыуе ыуанн,сюэ юань,xуу ыуан
要,ыао,ыао,ыауо,яо,ыао
爷爷,ые ые,ыех ые,ые ые,е е,ые ые
也,ые,ыех,ыее,е,ые
页,ые,ыех,ыех,е,ые
一,ыи,и,и,и,и
衣服,ыи фу,и фу,и фу,и фу,и фу
医生,ыи шенг,и шенг,и шенг,и шэн,и шенг
医院,ыи ыуан,и ыуан,и ыуанн,и юань,и ыуан
一点儿,ыи диан ер,и тиен р,и деан р,и дянь эр,и диан рр
用,ыонг,ыунг,ыонк,юн,ыонг
有,ыоу,ыу,ыеоу,ю,ыо
有的,ыоу де,ыу де,ыеоу де,ю дэ,ыо де
有名,ыоу минг,ыу минг,ыеоу минг,ю мин,ыо минг
有些,ыоу xие,ыу хсиех,ыеоу шие,ю се,ыо xие
有用,ыоу ыонг,ыу ыунг,ыеоу ыонк,ю юн,ыо ыонг
右,ыоу,ыу,ыоуо,ю,ыо
右边,ыоу биан,ыу биан,ыоуо биан,ю бянь,ыо биан
雨,ыу,ыу,ыеу,юй,ыу
元,ыуан,ыуан,ыуан,юань,ыуан
远,ыуан,ыуан,ыеуан,юань,ыуан
月,ыуе,ыуех,ыуех,юэ,ыуе
再,заи,цаи,тзаы,цзай,цаи
再见,заи йиан,цаи чиен,тзаы йианн,цзай цзянь,цаи йиан
在,заи,цаи,тзаы,цзай,цаи
在家,заи йиа,цаи чиа,тзаы йиа,цзай цзя,цаи йиа
早,зао,цао,тзао,цзао,цао
早饭,зао фан,цао фан,тзао фанн,цзао фань,цао фан
早上,зао шанг,цао шанг,тзао шанг,цзао шан,цао шанг
怎么,зен ыао,цен ме,тзеен ме,цзэнь яо,цен ме
站,жан,чан,янн,чжань,чан
找,жао,чао,яо,чжао,чао
找到,жао дао,чао тао,яо дауо,чжао дао,чао дао
这,же,че,йех,чжэ,че
这边,же биан,че пиен,йех биан,чжэ бянь,че биан
这里,же ли,че ли,йех лии,чжэ ли,че ли
这儿,же ер,че р,йех р,чжэ эр,че рр
这些,же xие,че хсиех,йех шие,чжэ се,че xие
真,жен,чен,йен,чжэнь,чен
真的,жен де,чен де,йен де,чжэнь дэ,чен де
正,женг,ченг,йенк,чжэн,ченг
正在,женг заи,ченг цаи,йенк тзаы,чжэн цзай,ченг цаи
知道,жи дао,чих тао,йы дауо,чжи дао,чи дао
知识,жи ши,чих ши,йы ши,чжи ши,чи ши
中,жонг,чунг,йонг,чжун,чонг
中国,жонг гуо,чунг куо,йонг гуоо,чжун го,чонг гуо
中间,жонг йиан,чунг чиен,йонг йиан,чжун цзянь,чонг йиан
中文,жонг уоен,чунг уоен,йонг уоен,чжун вэнь,чонг уоен
中午,жонг уоу,чунг уоу,йонг уоуу,чжун у,чонг уоу
中学,жонг xуе,чунг хсуех,йонг шыуе,чжун сюэ,чонг xуу
中学生,жонг xуе шенг,чунг хсуех шенг,йонг шыуе шенг,чжун сюэ шэн,чонг xуу шенг
重要,жонг ыао,чунг ыао,йонк ыауо,чжун яо,чонг ыао
住,жу,чу,юх,чжу,чу
准备,жун беи,чун пеи,йоен беы,чжунь бэй,чун беи
桌子,жуо зи,чо зи,юо зи,чжо цзы,чо зи
字,зи,тзу,тзых,цзы,тзы
走,зоу,цоу,тзооу,цзоу,цоу
走路,зоу лу,цоу лу,тзооу лух,цзоу лу,цоу лу
最,зуи,цуи,тзуеы,цзуй,цуи
最好,зуи хао,цуи хао,тзуеы хао,цзуй хао,цуи хао
最后,зуи хоу,цуи хоу,тзуеы хоуо,цзуй хоу,цуи хоу
昨天,зуо тиан,цо тиен,тзуоо тиан,цзо тянь,цзо тиан
左,зуо,цо,тзуоо,цзо,цзо
左边,зуо биан,цо биан,тзуоо биан,цзо бянь,цзо биан
坐,зуо,цо,тзуох,цзо,цзо
爱情,аи кинг,аи чинг,аы чынг,ай цин,аи чинг
安静,ан йинг,ан чинг,ан йинк,ань цзин,ан йинг
安全,ан куан,ан чуан,ан чыуан,ань цюань,ан чуан
白色,баи се,паи се,баир сех,бай сэ,баи се
班长,бан чанг,пан чанг,бан яанг,бань чан,бан чанг
办,бан,пан,банн,бань,бан
办法,бан фа,пан фа,банн фаа,бань фа,бан фа
办公室,бан гонг ши,пан кунг ших,банн гонг шых,бань гун ши,бан гонг ши
半夜,бан ые,пан ыех,банн ыех,бань е,бан ые
帮助,банг жу,панг чу,банг юх,бан чжу,банг чу
饱,бао,пао,бао,бао,бао
报名,бао минг,пао минг,бауо минг,бао мин,бао минг
报纸,бао жи,пао чих,бауо йыы,бао чжи,бао чи
北方,беи фанг,пеи фанг,бееи фанг,бэй фан,беи фанг
背,беи,пеи,беи,бэй,беи
比如,би ру,пи ю,бии ру,би жу,би ру
比如说,би ру шуо,пи ю шуо,бии ру шуо,би жу шо,би ру шуо
笔,би,пи,бии,би,би
笔记,би йи,пи чи,бии йих,би цзи,би йи
笔记本,би йи бен,пи чи пен,бии йих беен,би цзи бэнь,би йи бен
必须,би xу,пи хсу,бих шиу,би сюй,би xуу
边,биан,пиен,биан,бянь,биан
变,биан,пиен,бианн,бянь,биан
变成,биан ченг,пиен ченг,бианн чернг,бянь чэн,биан ченг
遍,биан,пиен,бианн,бянь,биан
表,биао,пиао,беау,бяо,биао
表示,биао ши,пиао ших,беау шых,бяо ши,биао ши
不久,бу йиу,пу чиу,бух йеоу,бу цзю,бу йиу
不满,бу ман,пу ман,бух маан,бу мань,бу ман
不如,бу ру,пу ю,бух ру,бу жу,бу ру
不少,бу шао,пу шао,бух шао,бу шао,бу шао
不同,бу тонг,пу тунг,бух торнг,бу тун,бу тонг
不行,бу xинг,пу хсинг,бух шынг,бу син,бу xинг
不一定,бу ыи динг,пу и тинг,бух и динк,бу и дин,бу и динг
部分,бу фен,пу фен,бух фен,бу фэнь,бу фен
才,цаи,цаи,цаир,цай,цаи
菜单,цаи дан,цаи тан,цаы дан,цай дань,цаи дан
参观,цан гуан,цан куан,цан гуан,цань гуань,цан гуан
参加,цан йиа,цан чиа,цан йиа,цань цзя,цан йиа
草,цао,цао,цао,цао,цао
草地,цао ди,цао ти,цао дих,цао ди,цао ди
层,ценг,ценг,цернг,цэн,ценг
查,ча,ча,чар,ча,ча
差不多,ча бу дуо,ча бу то,чах бу дуо,ча бу до,ча бу ду
长,чанг,чанг,чарнг,чан,чанг
常见,чанг йиан,чанг чиен,чарнг йианн,чан цзянь,чанг йиан
常用,чанг ыонг,чанг ыунг,чарнг ыонк,чан юн,чанг ыонг
超过,чао гуо,чао куо,чау гуох,чао го,чао гуо
超市,чао ши,чао ших,чау шых,чао ши,чао ши
车辆,че лианг,че лианг,че лианк,чэ лян,че лиан
称,ченг ,ченг,ченг,чэн,ченг
成,ченг,ченг,чернг,чэн,ченг
成绩,ченг йи,ченг чи,чернг йих,чэн цзи,ченг йи
成为,ченг уоеи,ченг уоеи,чернг уоеи,чэн вэй,ченг уоеи
重复,жонг фу,чунг фу,чорнг фух,чжун фу,чонг фу
重新,жонг xин,чунг хсин,чорнг шин,чжун синь,чонг xин
