Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
喝,he,ho¹,he,хэ
和,he,ho²,her,хэ
很,hen,hen³,heen,хэнь
后,hou,hou⁴,how,хоу
后天,hou tian,hou⁴ t'ien¹,how tian,хоу тянь
花,hua,hua¹,hua,хуа
话,hua,hua⁴,huah,хуа
坏,huai,huai⁴,huay,хуай
还,huan,huan²,hwan,хуань
回,hui,hui²,hwei,хуэй
回答,hui da,hui² ta²,hwei dar,хуэй да
回到,hui dao,hui² tao⁴,hwei daw,хуэй дао
回家,hui jia,hui² chia¹,hwei jia,хуэй цзя
会,hui,hui⁴,huey,хуэй
火车,huo che,huo³ ch'e¹,huoo che,хо чэ
机场,ji chang,chi¹ ch'ang³,ji chaang,цзи чан
机票,ji piao,chi¹ p'iao⁴,ji piaw,цзи пяо
鸡蛋,ji dan,chi¹ tan⁴,ji dann,цзи дань
几,ji,chi³,jii,цзи
记,ji,chi⁴,jih,цзи
家,jia,chia¹,jia,цзя
家里,jia li,chia¹ li³,jia lii,цзя ли
家人,jia ren,chia¹ jen²,jia ren,цзя жэнь
间,jian,chien¹,jian,цзянь
见,jian,chien⁴,jiann,цзянь
见面,jian mian,chien⁴ mien⁴,jiann miann,цзянь мянь
教,jiao,chiao¹,jiau,цзяо
叫,jiao,chiao⁴,jiaw,цзяо
教学楼,jiao xue lou,chiao⁴ hsüeh² lou²,jiaw shyue lou,цзяо сюэ лоу
姐姐,jie jie,chieh³ jie,jiee jie,цзе цзе
介绍,jie shao,chieh⁴ shao⁴,jieh shaw,цзе шао
今年,jin nian,chin¹ nien²,jin nian,цзинь нянь
今天,jin tian,chin¹ t'ien¹,jin tian,цзинь тянь
进,jin,chin⁴,jinn,цзинь
进来,jin lai,chin⁴ lai²,jinn lai,цзинь лай
进去,jin qu,chin⁴ ch'ü⁴,jinn chiuh,цзинь цюй
九,jiu,chiu³,jeou,цзю
就,jiu,chiu⁴,jiow,цзю
觉得,jue de,chüeh² de,jyue de,цзюэ дэ
开,kai,k'ai¹,kai,кай
开车,kai che,k'ai¹ ch'e¹,kai che,кай чэ
开会,kai hui,k'ai¹ hui⁴,kai huey,кай хуэй
开玩笑,kai wan xiao,k'ai¹ wan² hsiao⁴,kai wan shiaw,кай вань сяо
看病,kan bing,k'an⁴ ping⁴,kann binq,кань бин
看到,kan dao,k'an⁴ tao⁴,kann daw,кань дао
看见,kan jian,k'an⁴ chien⁴,kann jiann,кань цзянь
考,kao,k'ao³,kao,као
考试,kao shi,k'ao³ shih⁴,kao shyh,као ши
渴,ke,k'o³,kee,кэ
课,ke,k'o⁴,keh,кэ
课本,ke ben,k'o⁴ pen³,keh been,кэ бэнь
课文,ke wen,k'o⁴ wen²,keh wen,кэ вэнь
口,kou,k'ou³,koou,коу
块,kuai,k'uai⁴,kuay,куай
快,kuai,k'uai⁴,kuay,куай
来,lai,lai²,lai,лай
来到,lai dao,lai² tao⁴,lai daw,лай дао
老,lao,lao³,lao,лао
老人,lao ren,lao³ jen²,lao ren,лао жэнь
老师,lao shi,lao³ shih¹,lao shy,лао ши
了,le,le,le,лэ
累,lei,lei⁴,ley,лэй
冷,leng,leng³,leeng,лэн
里,li,li³,lii,ли
两,liang,liang³,leang,лян
零,ling,ling²,ling,лин
〇,〇,ling²,ling,
六,liu,liu⁴,liow,лю
楼,lou,lou²,lou,лоу
楼上,lou shang,lou² shang⁴,lou shanq,лоу шан
楼下,lou xia,lou² hsia⁴,lou shiah,лоу ся
路,lu,lu⁴,luh,лу
路口,lu kou,lu⁴ k'ou³,luh koou,лу коу
妈妈,ma ma,ma¹ ma,mha ma,ма ма
妈,ma,ma¹,mha,ма
马路,ma lu,ma³ lu⁴,maa luh,ма лу
马上,ma shang,ma³ shang⁴,maa shanq,ма шан
买,mai,mai³,mae,май
慢,man,man⁴,mann,мань
忙,mang,mang²,mang,ман
毛,mao,mao²,mau,мао
没,mei,mei²,mei,мэй
没关系,mei guan xi,mei² kuan¹ xi,mei guan xi,мэй гуань си
没什么,mei shi yao,mei² shen² me,mei shern me,мэй ши яо
没事儿,mei shi er,mei² shih⁴ r,mei shyh r,мэй ши эр
没有,mei you,mei² yu³,mei yeou,мэй ю
妹妹,mei mei,mei⁴ mei,mey mei,мэй мэй
妹,mei,mei⁴,mey,мэй
门,men,men²,men,мэнь
门口,men kou,men² k'ou³,men koou,мэнь коу
门票,men piao,men² p'iao⁴,men piaw,мэнь пяо
米饭,mi fan,mi³ fan⁴,mii fann,ми фань
面包,mian bao,mien⁴ pao¹,miann bau,мянь бао
面条儿,mian tiao er,mien⁴ t'iao² r,miann tyau r,мянь тяо эр
名字,ming zi,ming² zi,ming zi,мин цзы
明白,ming bai,ming² bai,ming bai,мин бай
明年,ming nian,ming² nien²,ming nian,мин нянь
明天,ming tian,ming² t'ien¹,ming tian,мин тянь
拿,na,na²,na,на
哪,na,na³,naa,на
哪里,na li,na³ li³,naa lii,на ли
哪儿,na er,na³ r,naa r,на эр
哪些,na xie,na³ hsieh¹,naa shie,на се
那儿,na er,na⁴ r,nah r,на эр
那些,na xie,na⁴ hsieh¹,nah shie,на се
奶,nai,nai³,nae,най
奶奶,nai nai,nai³ nai,nae nai,най най
男,nan,nan²,,
男孩儿,nan hai er,nan² hai² r,nan hair r,хай эр
男生,nan sheng,nan² sheng¹,nan sheng,шэн
南,nan,nan²,,
难,nan,nan²,,
呢,ni,ne,ne,ни
能,neng,neng²,neng,нэн
你,ni,ni³,nii,ни
你们,ni men,ni³ men,nii men,ни мэнь
年,nian,nien²,nian,нянь
您,nin,nin²,nin,нинь
牛奶,niu nai,niu² nai³,niou nae,ню най
旁边,pang bian,p'ang² pien¹,parng bian,пан бянь
朋友,peng you,p'eng² you,perng you,пэн ю
票,piao,p'iao⁴,piaw,пяо
七,qi,ch'i¹,chi,ци
起,qi,ch'i³,chii,ци
起床,qi chuang,ch'i³ ch'uang²,chii chwang,ци чуан
汽车,qi che,ch'i⁴ ch'e¹,chih che,ци чэ
前,qian,ch'ien²,chyan,цянь
前天,qian tian,ch'ien² t'ien¹,chyan tian,цянь тянь
钱,qian,ch'ien²,chyan,цянь
钱包,qian bao,ch'ien² pao¹,chyan bau,цянь бао
请,qing,ch'ing³,chiing,цин
请假,qing jia,ch'ing³ chia⁴,chiing jiah,цин цзя
请进,qing jin,ch'ing³ chin⁴,chiing jinn,цин цзинь
请问,qing wen,ch'ing³ wen⁴,chiing wenn,цин вэнь
请坐,qing zuo,ch'ing³ tso⁴,chiing tzuoh,цин цзо
球,qiu,ch'iu²,chyou,цю
去,qu,ch'ü⁴,chiuh,цюй
去年,qu nian,ch'ü⁴ nien²,chiuh nian,цюй нянь
热,re,je⁴,reh,жэ
人,ren,jen²,ren,жэнь
认识,ren shi,jen⁴ shi,renn shi,жэнь ши
认真,ren zhen,jen⁴ chen¹,renn jen,жэнь чжэнь
日,ri,jih⁴,ryh,жи
日期,ri qi,jih⁴ ch'i¹,ryh chi,жи ци
肉,rou,jou⁴,row,жоу
三,san,san¹,san,сань
山,shan,shan¹,shan,шань
商场,shang chang,shang¹ ch'ang³,shang chaang,шан чан
商店,shang dian,shang¹ tien⁴,shang diann,шан дянь
上,shang,shang⁴,shanq,шан
上班,shang ban,shang⁴ pan¹,shanq ban,шан бань
上车,shang che,shang⁴ ch'e¹,shanq che,шан чэ
上次,shang ci,shang⁴ tz'u⁴,shanq tsyh,шан цы
上课,shang ke,shang⁴ k'o⁴,shanq keh,шан кэ
上网,shang wang,shang⁴ wang³,shanq woang,шан ван
上午,shang wu,shang⁴ wu³,shanq wuu,шан у
上学,shang xue,shang⁴ hsüeh²,shanq shyue,шан сюэ
少,shao,shao³,shao,шао
谁,shui,shei²,sheir,шуй
身体,shen ti,shen¹ t'i³,shen tii,шэнь ти
什么,shi yao,shen² me,shern me,ши яо
生病,sheng bing,sheng¹ ping⁴,sheng binq,шэн бин
生气,sheng qi,sheng¹ ch'i⁴,sheng chih,шэн ци
生日,sheng ri,sheng¹ jih⁴,sheng ryh,шэн жи
十,shi,shih²,shyr,ши
时候,shi hou,shih² hou,shyr hou,ши хоу
时间,shi jian,shih² chien¹,shyr jian,ши цзянь
事,shi,shih⁴,shyh,ши
试,shi,shih⁴,shyh,ши
是,shi,shih⁴,shyh,ши
手,shou,shou³,shoou,шоу
手机,shou ji,shou³ chi¹,shoou ji,шоу цзи
书,shu,shu¹,shu,шу
书包,shu bao,shu¹ pao¹,shu bau,шу бао
书店,shu dian,shu¹ tien⁴,shu diann,шу дянь
树,shu,shu⁴,shuh,шу
水,shui,shui³,shoei,шуй
水果,shui guo,shui³ kuo³,shoei guoo,шуй го
睡,shui,shui⁴,shuey,шуй
睡觉,shui jue,shui⁴ chiao⁴,shuey jiaw,шуй цзюэ
说话,shuo hua,shuo¹ hua⁴,shuo huah,шо хуа
四,si,ssu⁴,syh,сы
送,song,sung⁴,sonq,сун
岁,sui,sui⁴,suey,суй
他,ta,t'a¹,ta,та
他们,ta men,t'a¹ men,ta men,та мэнь
她,ta,t'a¹,ta,та
她们,ta men,t'a¹ men,ta men,та мэнь
太,tai,t'ai⁴,tay,тай
天,tian,t'ien¹,tian,тянь
天气,tian qi,t'ien¹ ch'i⁴,tian chih,тянь ци
听,ting,t'ing¹,ting,тин
听到,ting dao,t'ing¹ tao⁴,ting daw,тин дао
听见,ting jian,t'ing¹ chien⁴,ting jiann,тин цзянь
听写,ting xie,t'ing¹ hsieh³,ting shiee,тин се
同学,tong xue,t'ung² hsüeh²,torng shyue,тун сюэ
图书馆,tu shu guan,t'u² shu¹ kuan³,twu shu goan,ту шу гуань
外,wai,wai⁴,way,вай
外国,wai guo,wai⁴ kuo²,way gwo,вай го
外语,wai yu,wai⁴ yü³,way yeu,вай юй
玩儿,wan er,wan² r,wan r,вань эр
晚,wan,wan³,woan,вань
晚饭,wan fan,wan³ fan⁴,woan fann,вань фань
晚上,wan shang,wan³ shang,woan shang,вань шан
网上,wang shang,wang³ shang⁴,woang shanq,ван шан
网友,wang you,wang³ yu³,woang yeou,ван ю
忘,wang,wang⁴,wanq,ван
忘记,wang ji,wang⁴ chi⁴,wanq jih,ван цзи
问,wen,wen⁴,wenn,вэнь
我,wo,wo³,woo,во
我们,wo men,wo³ men,woo men,во мэнь
五,wu,wu³,wuu,у
午饭,wu fan,wu³ fan⁴,wuu fann,у фань
西,xi,hsi¹,shi,си
西边,xi bian,hsi¹ pien¹,shi bian,си бянь
洗,xi,hsi³,shii,си
洗手间,xi shou jian,hsi³ shou³ chien¹,shii shoou jian,си шоу цзянь
喜欢,xi huan,hsi³ huan,shii huan,си хуань
下,xia,hsia⁴,shiah,ся
下班,xia ban,hsia⁴ pan¹,shiah ban,ся бань
下车,xia che,hsia⁴ ch'e¹,shiah che,ся чэ
下次,xia ci,hsia⁴ tz'u⁴,shiah tsyh,ся цы
下课,xia ke,hsia⁴ k'o⁴,shiah keh,ся кэ
下午,xia wu,hsia⁴ wu³,shiah wuu,ся у
下雨,xia yu,hsia⁴ yü³,shiah yeu,ся юй
先,xian,hsien¹,shian,сянь
先生,xian sheng,hsien¹ sheng,shian sheng,сянь шэн
现在,xian zai,hsien⁴ tsai⁴,shiann tzay,сянь цзай
想,xiang,hsiang³,sheang,сян
小,xiao,hsiao³,sheau,сяо
小孩儿,xiao hai er,hsiao³ hai² r,sheau hair r,сяо хай эр
小朋友,xiao peng you,hsiao³ p'eng² yu³,sheau perng yeou,сяо пэн ю
小时,xiao shi,hsiao³ shih²,sheau shyr,сяо ши
小学,xiao xue,hsiao³ hsüeh²,sheau shyue,сяо сюэ
小学生,xiao xue sheng,hsiao³ hsüeh² sheng¹,sheau shyue sheng,сяо сюэ шэн
笑,xiao,hsiao⁴,shiaw,сяо
写,xie,hsieh³,shiee,се
谢谢,xie xie,hsieh⁴ xie,shieh xie,се се
新,xin,hsin¹,shin,синь
新年,xin nian,hsin¹ nien²,shin nian,синь нянь
星期,xing qi,hsing¹ ch'i¹,shing chi,син ци
星期日,xing qi ri,hsing¹ ch'i¹ jih⁴,shing chi ryh,син ци жи
星期天,xing qi tian,hsing¹ ch'i¹ t'ien¹,shing chi tian,син ци тянь
行,xing,hsing²,shyng,син
休息,xiu xi,hsiu¹ xi,shiou xi,сю си
学,xue,hsüeh²,shyue,сюэ
学生,xue sheng,hsüeh² sheng,shyue sheng,сюэ шэн
学习,xue xi,hsüeh² hsi²,shyue shyi,сюэ си
学校,xue xiao,hsüeh² hsiao⁴,shyue shiaw,сюэ сяо
学院,xue yuan,hsüeh² yüan⁴,shyue yuann,сюэ юань
要,yao,yao⁴,yaw,яо
爷爷,ye ye,yeh² ye,ye ye,е е
也,ye,yeh³,yee,е
页,ye,yeh⁴,yeh,е
一,yi,i¹,i,и
衣服,yi fu,i¹ fu,i fu,и фу
医生,yi sheng,i¹ sheng¹,i sheng,и шэн
医院,yi yuan,i¹ yüan⁴,i yuann,и юань
一点儿,yi dian er,i¹ tien³ r,i dean r,и дянь эр
用,yong,yung⁴,yonq,юн
有,you,yu³,yeou,ю
有的,you de,yu³ de,yeou de,ю дэ
有名,you ming,yu³ ming²,yeou ming,ю мин
有些,you xie,yu³ hsieh¹,yeou shie,ю се
有用,you yong,yu³ yung⁴,yeou yonq,ю юн
右,you,yu⁴,yow,ю
右边,you bian,yu⁴ bian,yow bian,ю бянь
雨,yu,yü³,yeu,юй
元,yuan,yüan²,yuan,юань
远,yuan,yüan³,yeuan,юань
月,yue,yüeh⁴,yueh,юэ
再,zai,tsai⁴,tzay,цзай
再见,zai jian,tsai⁴ chien⁴,tzay jiann,цзай цзянь
在,zai,tsai⁴,tzay,цзай
在家,zai jia,tsai⁴ chia¹,tzay jia,цзай цзя
早,zao,tsao³,tzao,цзао
早饭,zao fan,tsao³ fan⁴,tzao fann,цзао фань
早上,zao shang,tsao³ shang,tzao shang,цзао шан
怎么,zen yao,tsen³ me,tzeen me,цзэнь яо
站,zhan,chan⁴,jann,чжань
找,zhao,chao³,jao,чжао
找到,zhao dao,chao³ tao⁴,jao daw,чжао дао
这,zhe,che⁴,jeh,чжэ
这边,zhe bian,che⁴ pien¹,jeh bian,чжэ бянь
这里,zhe li,che⁴ li³,jeh lii,чжэ ли
这儿,zhe er,che⁴ r,jeh r,чжэ эр
这些,zhe xie,che⁴ hsieh¹,jeh shie,чжэ се
真,zhen,chen¹,jen,чжэнь
真的,zhen de,chen¹ de,jen de,чжэнь дэ
正,zheng,cheng⁴,jenq,чжэн
正在,zheng zai,cheng⁴ tsai⁴,jenq tzay,чжэн цзай
知道,zhi dao,chih¹ tao⁴,jy daw,чжи дао
知识,zhi shi,chih¹ shi,jy shi,чжи ши
中,zhong,chung¹,jong,чжун
中国,zhong guo,chung¹ kuo²,jong gwo,чжун го
中间,zhong jian,chung¹ chien¹,jong jian,чжун цзянь
中文,zhong wen,chung¹ wen²,jong wen,чжун вэнь
中午,zhong wu,chung¹ wu³,jong wuu,чжун у
中学,zhong xue,chung¹ hsüeh²,jong shyue,чжун сюэ
中学生,zhong xue sheng,chung¹ hsüeh² sheng¹,jong shyue sheng,чжун сюэ шэн
重要,zhong yao,chung⁴ yao⁴,jonq yaw,чжун яо
住,zhu,chu⁴,juh,чжу
准备,zhun bei,chun³ pei⁴,joen bey,чжунь бэй
桌子,zhuo zi,cho¹ zi,juo zi,чжо цзы
字,zi,tzu⁴,tzyh,цзы
走,zou,tsou³,tzoou,цзоу
走路,zou lu,tsou³ lu⁴,tzoou luh,цзоу лу
最,zui,tsui⁴,tzuey,цзуй
最好,zui hao,tsui⁴ hao³,tzuey hao,цзуй хао
最后,zui hou,tsui⁴ hou⁴,tzuey how,цзуй хоу
昨天,zuo tian,tso² t'ien¹,tzwo tian,цзо тянь
左,zuo,tso³,tzuoo,цзо
左边,zuo bian,tso³ bian,tzuoo bian,цзо бянь
坐,zuo,tso⁴,tzuoh,цзо
爱情,ai qing,ai⁴ ch'ing²,ay chyng,ай цин
安静,an jing,an¹ ching⁴,an jinq,ань цзин
安全,an quan,an¹ ch'üan²,an chyuan,ань цюань
白色,bai se,pai² se⁴,bair seh,бай сэ
班长,ban chang,pan¹ chang³,ban jaang,бань чан
办,ban,pan⁴,bann,бань
办法,ban fa,pan⁴ fa³,bann faa,бань фа
办公室,ban gong shi,pan⁴ kung¹ shih⁴,bann gong shyh,бань гун ши
半夜,ban ye,pan⁴ yeh⁴,bann yeh,бань е
帮助,bang zhu,pang¹ chu⁴,bang juh,бан чжу
饱,bao,pao³,bao,бао
报名,bao ming,pao⁴ ming²,baw ming,бао мин
报纸,bao zhi,pao⁴ chih³,baw jyy,бао чжи
北方,bei fang,pei³ fang¹,beei fang,бэй фан
背,bei,pei¹,bei,бэй
比如,bi ru,pi³ ju²,bii ru,би жу
比如说,bi ru shuo,pi³ ju² shuo¹,bii ru shuo,би жу шо
笔,bi,pi³,bii,би
笔记,bi ji,pi³ chi⁴,bii jih,би цзи
笔记本,bi ji ben,pi³ chi⁴ pen³,bii jih been,би цзи бэнь
必须,bi xu,pi⁴ hsü¹,bih shiu,би сюй
边,bian,pien¹,bian,бянь
变,bian,pien⁴,biann,бянь
变成,bian cheng,pien⁴ ch'eng²,biann cherng,бянь чэн
遍,bian,pien⁴,biann,бянь
表,biao,piao³,beau,бяо
表示,biao shi,piao³ shih⁴,beau shyh,бяо ши
不久,bu jiu,pu⁴ chiu³,buh jeou,бу цзю
不满,bu man,pu⁴ man³,buh maan,бу мань
不如,bu ru,pu⁴ ju²,buh ru,бу жу
不少,bu shao,pu⁴ shao³,buh shao,бу шао
不同,bu tong,pu⁴ t'ung²,buh torng,бу тун
不行,bu xing,pu⁴ hsing²,buh shyng,бу син
不一定,bu yi ding,pu⁴ i¹ ting⁴,buh i dinq,бу и дин
部分,bu fen,pu⁴ fen,buh fen,бу фэнь
才,cai,ts'ai²,tsair,цай
菜单,cai dan,ts'ai⁴ tan¹,tsay dan,цай дань
参观,can guan,ts'an¹ kuan¹,tsan guan,цань гуань
参加,can jia,ts'an¹ chia¹,tsan jia,цань цзя
草,cao,ts'ao³,tsao,цао
草地,cao di,ts'ao³ ti⁴,tsao dih,цао ди
层,ceng,ts'eng²,tserng,цэн
查,cha,ch'a²,char,ча
差不多,cha bu duo,ch'a⁴ bu to¹,chah bu duo,ча бу до
长,chang,ch'ang²,charng,чан
常见,chang jian,ch'ang² chien⁴,charng jiann,чан цзянь
常用,chang yong,ch'ang² yung⁴,charng yonq,чан юн
超过,chao guo,ch'ao¹ kuo⁴,chau guoh,чао го
超市,chao shi,ch'ao¹ shih⁴,chau shyh,чао ши
车辆,che liang,ch'e¹ liang⁴,che lianq,чэ лян
称¹,cheng ¹,ch'eng¹,cheng,чэн
成,cheng,ch'eng²,cherng,чэн
成绩,cheng ji,ch'eng² chi⁴,cherng jih,чэн цзи
成为,cheng wei,ch'eng² wei²,cherng wei,чэн вэй
重复,zhong fu,ch'ung² fu⁴,chorng fuh,чжун фу
重新,zhong xin,ch'ung² hsin¹,chorng shin,чжун синь
出发,chu fa,ch'u¹ fa¹,chu fa,чу фа
出国,chu guo,ch'u¹ kuo²,chu gwo,чу го
出口,chu kou,ch'u¹ k'ou³,chu koou,чу коу
出门,chu men,ch'u¹ men²,chu men,чу мэнь
出生,chu sheng,ch'u¹ sheng¹,chu sheng,чу шэн
出现,chu xian,ch'u¹ hsien⁴,chu shiann,чу сянь
出院,chu yuan,ch'u¹ yüan⁴,chu yuann,чу юань
出租,chu zu,ch'u¹ tsu¹,chu tzu,чу цзу
出租车,chu zu che,ch'u¹ tsu¹ ch'e¹,chu tzu che,чу цзу чэ
船,chuan,ch'uan²,chwan,чуань
吹,chui,ch'ui¹,chuei,чуй
春节,chun jie,ch'un¹ chieh²,chuen jye,чунь цзе
春天,chun tian,ch'un¹ t'ien¹,chuen tian,чунь тянь
词,ci,tz'u²,tsyr,цы
词典,ci dian,tz'u² tien³,tsyr dean,цы дянь
词语,ci yu,tz'u² yü³,tsyr yeu,цы юй
从小,cong xiao,ts'ung² hsiao³,tsorng sheau,цун сяо
答应,da ying,ta¹ ying,da ying,да ин
打工,da gong,ta³ kung¹,daa gong,да гун
打算,da suan,ta³ suan⁴,daa suann,да суань
打印,da yin,ta³ yin⁴,daa yinn,да инь
大大,da da,ta⁴ ta⁴,dah dah,да да
大多数,da duo shu,ta⁴ to¹ shu⁴,dah duo shuh,да до шу
大海,da hai,ta⁴ hai³,dah hae,да хай
大家,da jia,ta⁴ chia¹,dah jia,да цзя
大量,da liang,ta⁴ liang⁴,dah lianq,да лян
大门,da men,ta⁴ men²,dah men,да мэнь
大声,da sheng,ta⁴ sheng¹,dah sheng,да шэн
大小,da xiao,ta⁴ hsiao³,dah sheau,да сяо
大衣,da yi,ta⁴ i¹,dah i,да и
大自然,da zi ran,ta⁴ tzu⁴ jan²,dah tzyh ran,да цзы жань
带,dai,tai⁴,day,дай
带来,dai lai,tai⁴ lai²,day lai,дай лай
单位,dan wei,tan¹ wei⁴,dan wey,дань вэй
但,dan,tan⁴,dann,дань
但是,dan shi,tan⁴ shih⁴,dann shyh,дань ши
蛋,dan,tan⁴,dann,дань
当,dang,tang¹,dang,дан
当时,dang shi,tang¹ shih²,dang shyr,дан ши
倒,dao,tao³,dao,дао
到处,dao chu,tao⁴ ch'u⁴,daw chuh,дао чу
倒,dao,tao⁴,daw,дао
道,dao,tao⁴,daw,дао
道路,dao lu,tao⁴ lu⁴,daw luh,дао лу
得,de,te²,der,дэ
