Chinese,Pinyin
研究生,yán jiū shēng
研制,yán zhì
盐,yán
眼镜,yǎnjìng
眼泪,yǎn lèi
眼里,yǎn lǐ
演讲,yǎnjiǎng
阳台,yángtái
养成,yǎngchéng
腰,yāo
摇,yáo
药物,yào wù
要,yào
业余,yèyú
叶子,yèzi
医疗,yī liáo
医学,yī xué
依靠,yīkào
依然,yīrán
一律,yílǜ
一再,yízài
一致,yízhì
移,yí
移动,yídòng
移民,yímín
遗产,yíchǎn
遗传,yíchuán
疑问,yíwèn
以及,yǐjí
以内,yǐ nèi
一般来说,yì bān lái shuō
义务,yìwù
议论,yìlùn
引,yǐn
引导,yǐndǎo
引进,yǐn jìn
引起,yǐnqǐ
应,yīng
英勇,yīngyǒng
营业,yíngyè
赢得,yíng dé
影子,yǐngzi
勇敢,yǒnggǎn
勇气,yǒngqì
用途,yòngtú
优良,yōu liáng
优美,yōuměi
优秀,yōuxiù
邮局,yóujú
有劲儿,yǒu jìnr
有趣,yǒuqù
有限,yǒu xiàn
幼儿园,yòu’éryuán
于是,yúshì
语法,yǔfǎ
语音,yǔ yīn
玉,yù
玉米,yùmǐ
预测,yù cè
预订,yùdìng
遇,yù
遇到,yùdào
遇见,yù jiàn
原料,yuánliào
原则,yuánzé
圆,yuán
圆满,yuánmǎn
约会,yuēhuì
月底,yuè dǐ
阅读,yuèdú
运动会,yùn dòng huì
运动员,yùn dòng yuán
运气,yùnqi
运用,yùnyòng
再三,zàisān
在乎,zàihu
在于,zàiyú
赞成,zànchéng
赞赏,zàn shǎng
赞助,zànzhù
造型,zàoxíng
战斗,zhàndòu
战胜,zhàn shèng
战士,zhàn shì
战争,zhànzhēng
丈夫,zhàngfu
招呼,zhāo hu
着,zhe
着火,zháohuǒ
着急,zháojí
召开,zhàokāi
折,zhé
针,zhēn
针对,zhēnduì
阵,zhèn
争论,zhēnglùn
征服,zhēngfú
征求,zhēngqiú
政府,zhèngfǔ
政治,zhèngzhì
之后,zhī hòu
之间,zhī jiān
之前,zhī qián
之一,zhī yī
支,zhī
植物,zhíwù
指挥,zhǐhuī
制订,zhì dìng
质量,zhìliàng
治,zhì
治疗,zhìliáo
智力,zhìlì
智能,zhìnéng
中介,zhōngjiè
种类,zhǒnglèi
中奖,zhòng jiǎng
种,zhǒng
种植,zhòngzhí
重量,zhòngliàng
逐步,zhúbù
逐渐,zhújiàn
主题,zhǔtí
主席,zhǔxí
祝福,zhùfú
著名,zhùmíng
著作,zhùzuò
抓紧,zhuājǐn
专心,zhuānxīn
转动,zhuǎn dòng
转告,zhuǎngào
转身,zhuǎn shēn
转弯,zhuǎn wān
转移,zhuǎnyí
装修,zhuāngxiū
装置,zhuāng zhì
追求,zhuīqiú
准时,zhǔnshí
资料,zīliào
资源,zīyuán
自,zì
自信,zìxìn
字母,zìmǔ
综合,zōnghé
总共,zǒnggòng
总理,zǒnglǐ
总统,zǒngtǒng
总之,zǒngzhī
阻止,zǔzhǐ
嘴巴,zuǐ ba
最初,zuìchū
作出,zuò chū
作为,zuòwéi
安慰,ānwèi
岸,àn
岸上,àn shàng
按摩,ànmó
拔,bá
白酒,bái jiǔ
拜访,bàifǎng
版,bǎn
扮演,bànyǎn
棒,bàng
包围,bāowéi
包装,bāozhuāng
保卫,bǎowèi
保养,bǎoyǎng
报答,bàodá
报警,bàojǐng
抱怨,bàoyuàn
背包,bēi bāo
悲剧,bēi jù
悲伤,bēi shāng
北极,běijí
被动,bèidòng
辈,bèi
本人,běnrén
鼻子,bízi
比方,bǐfāng
比重,bǐzhòng
彼此,bǐcǐ
必,bì
必需,bì xū
毕竟,bìjìng
闭幕,bì mù
闭幕式,bì mù shì
边境,biānjìng
编辑,biānjí
编辑,biānji
变动,biàn dòng
便利,biànlì
便条,biàntiáo
便于,biànyú
宾馆,bīnguǎn
饼,bǐng
饼干,bǐnggān
病毒,bìngdú
玻璃,bōli
博客,bó kè
博览会,bólǎnhuì
博士,bóshì
博物馆,bówùguǎn
薄弱,bóruò
不顾,búgù
不利,bú lì
不耐烦,búnàifán
不幸,bú xìng
不易,bú yì
补偿,bǔcháng
补贴,bǔtiē
不曾,bù céng
不得了,búdéliǎo
不敢当,bùgǎndāng
不良,bù liáng
不免,bùmiǎn
不能不,bù néng bù
不时,bùshí
不停,bù tíng
不许,bù xǔ
不止,bùzhǐ
不足,bùzú
部位,bùwèi
猜,cāi
猜测,cāi cè
裁判,cáipàn
采购,cǎigòu
彩票,cǎipiào
餐馆,cān guǎn
餐厅,cāntīng
餐饮,cān yǐn
草原,cǎo yuán
册,cè
层次,céngcì
叉,chā
叉子,chāzi
差别,chābié
差距,chājù
插,chā
查询,chá xún
差点儿,chādiǎnr
拆,chāi
拆除,chāi chú
产业,chǎnyè
长度,cháng dù
长寿,cháng shòu
肠,cháng
尝,cháng
尝试,chángshì
厂长,chǎng zhǎng
场面,chǎngmiàn
倡导,chàngdǎo
超越,chāoyuè
车主,chē zhǔ
称²,chēng
称号,chēnghào
成本,chéngběn
成交,chéngjiāo
成效,chéngxiào
成语,chéngyǔ
承办,chéngbàn
城里,chéng lǐ
乘,chéng
乘车,chéng chē
乘客,chéng kè
乘坐,chéngzuò
吃力,chīlì
池子,chí zi
迟,chí
冲动,chōngdòng
冲突,chōngtū
充足,chōngzú
愁,chóu
丑,chǒu
臭,chòu
出版,chūbǎn
出差,chūchāi
出汗,chū hàn
出于,chū yú
初期,chū qī
除非,chúfēi
除夕,chúxī
厨房,chúfáng
处罚,chǔ fá
处分,chǔfèn
处在,chǔ zài
传达,chuándá
传递,chuán dì
传真,chuánzhēn
窗帘,chuānglián
闯,chuǎng
创立,chuànglì
辞典,cí diǎn
辞职,cízhí
此后,cǐ hòu
此刻,cǐ kè
此时,cǐ shí
聪明,cōngming
从而,cóng’ér
从中,cóng zhōng
脆,cuì
存款,cún kuǎn
寸,cùn
达成,dáchéng
答,dá
答复,dáfù
打,dǎ
打扮,dǎban
打包,dǎbāo
打击,dǎjī
打架,dǎjià
打扰,dǎrǎo
大胆,dà dǎn
大都,dà dōu
大纲,dà gāng
大伙儿,dàhuǒr
大奖赛,dà jiǎng sài
大脑,dà nǎo
大事,dà shì
大厅,dà tīng
大象,dàxiàng
大熊猫,dà xióng māo
大于,dà yú
大致,dàzhì
呆,dāi
待,dāi
代价,dàijià
代理,dàilǐ
带有,dài yǒu
贷款,dàikuǎn
单一,dān yī
胆,dǎn
胆小,dǎn xiǎo
蛋糕,dàngāo
当场,dāngchǎng
当代,dāngdài
当年,dāng nián
当前,dāngqián
当选,dāngxuǎn
挡,dǎng
到来,dào lái
倒是,dào shì
道德,dàodé
得了,dé le
得以,dé yǐ
等候,děnghòu
等级,děngjí
低于,dī yú
地带,dì dài
地形,dì xíng
地震,dìzhèn
递,dì
递给,dì gěi
典礼,diǎnlǐ
点燃,diǎn rán
电池,diànchí
电饭锅,diàn fàn guō
电子版,diàn zǐ bǎn
调动,diàodòng
丢,diū
动机,dòngjī
动手,dòngshǒu
动态,dòngtài
动员,dòngyuán
冻,dòng
洞,dòng
豆制品,dòu zhì pǐn
毒,dú
堆,duī
对立,duìlì
对应,duìyìng
吨,dūn
朵,duǒ
躲,duǒ
儿女,ér nǚ
耳朵,ěrduo
二维码,èr wéi mǎ
发布,fābù
发觉,fājué
发射,fāshè
发行,fāxíng
罚,fá
罚款,fákuǎn
法规,fǎ guī
法制,fǎ zhì
繁荣,fánróng
返回,fǎn huí
防治,fángzhì
放大,fàngdà
放弃,fàngqì
分成,fēn chéng
分解,fēnjiě
分类,fēn lèi
分离,fēn lí
分析,fēnxī
分享,fēn xiǎng
丰收,fēngshōu
风度,fēngdù
风光,fēngguāng
封,fēng
疯,fēng
疯狂,fēngkuáng
扶,fú
服从,fúcóng
幅,fú
幅度,fúdù
福利,fúlì
辅助,fǔzhù
负责人,fù zé rén
附件,fùjiàn
改革,gǎigé
干脆,gāncuì
干扰,gānrǎo
干预,gānyù
感想,gǎnxiǎng
钢笔,gāng bǐ
钢琴,gāng qín
高大,gāo dà
高度,gāo dù
高跟鞋,gāo gēn xié
高温,gāo wēn
高于,gāo yú
高原,gāo yuán
搞,gǎo
搞好,gǎo hǎo
歌曲,gē qǔ
隔壁,gébì
个儿,gèr
跟前,gēnqián
跟随,gēnsuí
更换,gēng huàn
更新,gēngxīn
工艺,gōng yì
工作日,gōng zuò rì
公告,gōnggào
公认,gōngrèn
公式,gōngshì
公正,gōngzhèng
共计,gòngjì
共享,gòng xiǎng
沟,gōu
沟通,gōutōng
估计,gūjì
古老,gǔ lǎo
鼓,gǔ
鼓励,gǔlì
鼓掌,gǔzhǎng
顾问,gùwèn
怪,guài
关怀,guānhuái
关键,guānjiàn
冠军,guànjūn
光荣,guāngróng
光线,guāng xiàn
广,guǎng
广泛,guǎngfàn
规划,guīhuà
鬼,guǐ
柜子,guì zi
滚,gǔn
锅,guō
国籍,guójí
国民,guó mín
过度,guòdù
过敏,guòmǐn
过于,guòyú
害,hài
汗,hàn
好运,hǎo yùn
号召,hàozhào
合并,hébìng
合成,héchéng
盒,hé
盒饭,hé fàn
盒子,hézi
贺卡,hè kǎ
恨,hèn
猴,hóu
后悔,hòuhuǐ
胡同儿,hú tòngr
胡子,hú zi
虎,hǔ
华语,huá yǔ
滑,huá
化石,huàshí
划分,huàfēn
画面,huà miàn
环节,huánjié
慌,huāng
慌忙,huāng máng
灰色,huī sè
恢复,huīfù
回报,huíbào
回避,huíbì
回顾,huígù
回收,huíshōu
回头,huí tóu
回信,huí xìn
回忆,huíyì
汇款,huì kuǎn
会谈,huì tán
活力,huólì
活泼,huópō
火柴,huǒchái
火腿,huǒ tuǐ
火灾,huǒ zāi
或是,huò shì
机器人,jī qì rén
机制,jī zhì
肌肉,jīròu
基地,jīdì
基金,jījīn
即使,jíshǐ
集团,jítuán
挤,jǐ
记忆,jìyì
技能,jì néng
继承,jìchéng
加热,jiā rè
加上,jiā shàng
加速,jiā sù
加以,jiā yǐ
夹,jiā
甲,jiǎ
价,jià
驾驶,jiàshǐ
驾照,jià zhào
坚定,jiāndìng
肩,jiān
艰苦,jiānkǔ
艰难,jiānnán
检验,jiǎnyàn
减轻,jiǎn qīng
剪,jiǎn
剪刀,jiǎndāo
剪子,jiǎn zi
间接,jiànjiē
建造,jiàn zào
建筑,jiànzhù
健全,jiànquán
键,jiàn
键盘,jiànpán
将,jiāng
将要,jiāng yào
奖励,jiǎnglì
交代,jiāodài
郊区,jiāoqū
胶带,jiāo dài
胶水,jiāoshuǐ
脚步,jiǎo bù
接触,jiēchù
接连,jiēlián
解除,jiěchú
解放,jiěfàng
戒,jiè
届,jiè
今日,jīn rì
尽管,jǐnguǎn
紧紧,jǐn jǐn
尽可能,jǐn kě néng
进化,jìnhuà
近来,jìnlái
经费,jīngfèi
景象,jǐng xiàng
警告,jǐnggào
竞赛,jìngsài
竞争,jìngzhēng
酒鬼,jiǔ guǐ
救灾,jiù zāi
居然,jūrán
局面,júmiàn
局长,jú zhǎng
举动,jǔdòng
拒绝,jùjué
俱乐部,jùlèbù
剧本,jùběn
决不,jué bù
绝望,juéwàng
军人,jūn rén
开幕,kāi mù
开幕式,kāimùshì
看成,kàn chéng
看出,kàn chū
看待,kàndài
考核,kǎohé
烤肉,kǎo ròu
烤鸭,kǎoyā
靠近,kào jìn
颗,kē
咳,ké
可,kě
可怜,kělián
可惜,kěxī
渴望,kěwàng
刻,kè
客户,kèhù
客气,kè qì
客厅,kètīng
课题,kètí
肯定,kěndìng
空中,kōng zhōng
控制,kòngzhì
口号,kǒu hào
库,kù
快活,kuàihuo
宽度,kuān dù
狂,kuáng
亏,kuī
困扰,kùn rǎo
落,là
来信,lái xìn
烂,làn
朗读,lǎngdú
浪漫,làngmàn
劳动,láodòng
梨,lí
礼,lǐ
礼拜,lǐ bài
礼貌,lǐmào
厉害,lìhai
立,lì
立场,lìchǎng
利润,lìrùn
例外,lìwài
连接,lián jiē
联络,liánluò
联想,liánxiǎng
脸盆,liǎn pén
脸色,liǎn sè
恋爱,liàn’ài
两岸,liǎng àn
邻居,línjū
铃,líng
铃声,líng shēng
领带,lǐng dài
令,lìng
流动,liú dòng
流通,liútōng
漏,lòu
漏洞,lòu dòng
逻辑,luóji
落实,luòshí
码头,mǎtóu
骂,mà
买卖,mǎi mài
漫长,màncháng
漫画,mànhuà
毛笔,máo bǐ
矛盾,máodùn
冒,mào
贸易,màoyì
煤,méi
煤气,méi qì
门诊,mén zhěn
迷人,mírén
迷信,míxìn
面貌,miànmào
面子,miànzi
秒,miǎo
敏感,mǐngǎn
明亮,míng liàng
明明,míngmíng
命令,mìnglìng
模范,mófàn
模仿,mófǎng
模糊,móhu
模式,móshì
摩擦,mócā
摩托,mó tuō
模样,múyàng
目光,mùguāng
耐心,nàixīn
男性,nán xìng
南北,nán běi
南极,nán jí
难得,nándé
难以,nán yǐ
脑子,nǎo zi
内在,nèizài
能量,néngliàng
年度,niándù
年龄,niánlíng
年前,nián qián
牛,niú
牛仔裤,niúzǎikù
农产品,nóng chǎn pǐn
女性,nǚ xìng
暖,nuǎn
偶尔,ǒu’ěr
偶然,ǒurán
偶像,ǒuxiàng
拍摄,pāi shè
排除,páichú
旁,páng
陪,péi
赔,péi
赔偿,péicháng
配备,pèibèi
配套,pèitào
喷,pēn
盆,pén
披,pī
皮肤,pífū
皮鞋,píxié
脾气,píqi
匹,pǐ
骗,piàn
骗子,piàn zi
拼,pīn
频道,píndào
频繁,pínfán
品,pǐn
品,pǐn 
品种,pǐnzhǒng
平坦,píngtǎn
平原,píngyuán
评估,pínggū
评论,pínglùn
凭,píng
泼,pō
葡萄,pútao
葡萄酒,pú táo jiǔ
期望,qīwàng
齐全,qíquán
其,qí
启动,qǐ dòng
启发,qǐfā
启事,qǐshì
起到,qǐ dào
起码,qǐmǎ
气体,qì tǐ
气象,qìxiàng
签,qiān
签订,qiān dìng
签名,qiān míng
签约,qiān yuē
签证,qiānzhèng
签字,qiān zì
前景,qiánjǐng
前提,qiántí
欠,qiàn
枪,qiāng
强度,qiáng dù
墙壁,qiáng bì
抢,qiǎng
抢救,qiǎngjiù
强迫,qiǎngpò
悄悄,qiāoqiāo
敲,qiāo
敲门,qiāo mén
瞧,qiáo
琴,qín
勤奋,qínfèn
青,qīng
清晨,qīngchén
清理,qīnglǐ
情节,qíngjié
情形,qíngxíng
晴朗,qínglǎng
区域,qūyù
全都,quán dōu
全世界,quán shì jiè
泉,quán
劝,quàn
缺乏,quēfá
确立,quèlì
群体,qún tǐ
群众,qúnzhòng
染,rǎn
绕,rào
热量,rè liàng
热门,rèmén
人间,rénjiān
人力,rén lì
人士,rénshì
人物,rénwù
忍,rěn
忍不住,rěnbuzhù
忍受,rěnshòu
认,rèn
认定,rèndìng
扔,rēng
仍旧,réngjiù
如此,rú cǐ
如同,rú tóng
如下,rú xià
入门,rù mén
软,ruǎn
软件,ruǎnjiàn
洒,sǎ
散,sǎn
散文,sǎnwén
杀,shā
杀毒,shā dú
沙漠,shāmò
傻,shǎ
山区,shān qū
扇,shān
扇,shàn
扇子,shànzi
商标,shāngbiāo
上级,shàngjí
上下,shàng xià
上涨,shàng zhǎng
稍,shāo
稍微,shāowēi
蛇,shé
舍不得,shěbude
舍得,shě de
设想,shèxiǎng
社,shè
社区,shèqū
射,shè
射击,shèjī
摄像,shè xiàng
摄像机,shè xiàng jī
摄影,shèyǐng
摄影师,shè yǐng shī
伸,shēn
深处,shēn chù
深度,shēn dù
神,shén
神经,shénjīng
神奇,shénqí
神情,shén qíng
升高,shēng gāo
生成,shēng chéng
声,shēng
胜负,shèngfù
剩,shèng
剩下,shèng xià
失误,shīwù
师傅,shīfu
诗歌,shī gē
十足,shízú
时常,shícháng
时光,shíguāng
时机,shíjī
时事,shíshì
实惠,shíhuì
拾,shí
使得,shǐ de
示范,shìfàn
式,shì
势力,shìlì
试图,shìtú
视频,shìpín
视为,shì wéi
收购,shōu gòu
收集,shōu jí
收拾,shōushi
手段,shǒu duàn
手法,shǒufǎ
寿司,shòu sī
受灾,shòu zāi
瘦,shòu
书法,shūfǎ
书柜,shū guì
书桌,shū zhuō
输出,shū chū
蔬菜,shūcài
熟悉,shúxī
鼠,shǔ
鼠标,shǔbiāo
数目,shù mù
摔,shuāi
摔倒,shuāidǎo
率领,shuàilǐng
双手,shuāng shǒu
水产品,shuǐ chǎn pǐn
水分,shuǐ fèn
水库,shuǐ kù
水灾,shuǐ zāi
睡眠,shuì mián
说法,shuō fǎ
硕士,shuòshì
私人,sīrén
思维,sīwéi
四周,sì zhōu
搜,sōu
搜索,sōusuǒ
宿舍,sùshè
酸甜苦辣,suān tián kǔ là
随后,suí hòu
随意,suíyì
随着,suízhe
岁月,suìyuè
碎,suì
损害,sǔn hài
损失,sǔnshī
所在,suǒ zài
锁,suǒ
台风,táifēng
抬,tái
抬头,tái tóu
太空,tàikōng
弹,tán
逃,táo
逃跑,táo pǎo
逃走,táo zǒu
桃,táo
桃花,táo huā
桃树,táo shù
讨厌,tǎoyàn
特定,tèdìng
特性,tè xìng
特有,tè yǒu
提倡,tíchàng
提起,tí qǐ
提示,tíshì
题材,tícái
体积,tǐjī
体力,tǐ lì
天才,tiāncái
天然气,tiānránqì
天文,tiānwén
调节,tiáojié
调解,tiáojiě
厅,tīng
停留,tíng liú
通用,tōngyòng
偷,tōu
偷偷,tōu tōu
突破,tūpò
土豆,tǔdòu
吐,tǔ
吐,tù
兔,tù
团长,tuán zhǎng
推行,tuī xíng
脱离,tuōlí
外界,wàijiè
完了,wán le
微博,wēi bó
为难,wéinán
为期,wéiqī
为止,wéi zhǐ
为主,wéi zhǔ
违法,wéi fǎ
违反,wéifǎn
违规,wéi guī
围绕,wéirào
唯一,wéiyī
委托,wěituō
卫星,wèixīng
胃,wèi
慰问,wèiwèn
温和,wēnhé
文艺,wényì
卧室,wòshì
握,wò
污染,wūrǎn
污水,wū shuǐ
屋,wū
无奈,wúnài
无疑,wú yí
舞,wǔ
物价,wù jià
物业,wùyè
物质,wùzhì
误解,wùjiě
西红柿,xīhóngshì
西装,xī zhuāng
喜剧,xǐ jù
戏,xì
戏剧,xìjù
吓,xià
先后,xiān hòu
先前,xiānqián
鲜艳,xiānyàn
闲,xián
显,xiǎn
现有,xiàn yǒu
现状,xiànzhuàng
线索,xiànsuǒ
献,xiàn
乡,xiāng
乡村,xiāng cūn
相等,xiāngděng
相应,xiāngyìng
香肠,xiāngcháng
详细,xiángxì
享受,xiǎngshòu
向导,xiàngdǎo
向前,xiàng qián
向上,xiàng shàng
相声,xiàngsheng
象征,xiàngzhēng
消除,xiāochú
消毒,xiāodú
消防,xiāofáng
消费者,xiāo fèi zhě
消极,xiāojí
小偷儿,xiǎo tōur
歇,xiē
协议,xiéyì
协议书,xié yì shū
斜,xié
心态,xīntài
心疼,xīnténg
辛苦,xīnkǔ
欣赏,xīnshǎng
信念,xìnniàn
信箱,xìn xiāng
行驶,xíng shǐ
形态,xíngtài
性能,xìngnéng
雄伟,xióngwěi
熊,xióng
休闲,xiūxián
修复,xiūfù
修建,xiūjiàn
修养,xiūyǎng
虚心,xūxīn
许可,xǔkě
选修,xuǎn xiū
学科,xué kē
学位,xuéwèi
学者,xué zhě
寻求,xún qiú
询问,xúnwèn
押金,yājīn
鸭子,yā zi
亚军,yàjūn
延伸,yánshēn
严厉,yánlì
严肃,yánsù
言语,yán yǔ
研究所,yán jiū suǒ
眼光,yǎnguāng
邀请,yāoqǐng
摇头,yáo tóu
咬,yǎo
也好,yě hǎo
业务,yèwù
夜间,yè jiān
一流,yīliú
依法,yī fǎ
依旧,yījiù
依据,yījù
依照,yī zhào
一辈子,yíbèizi
一带,yí dài
一旦,yídàn
一句话,yí jù huà
一路,yí lù
一下儿,yí xiàr
一下子,yí xià zi
一向,yíxiàng
乙,yǐ
以便,yǐbiàn
以往,yǐwǎng
一口气,yì kǒu qì
一身,yì shēn
意识,yìshí
意味着,yìwèizhe
意志,yìzhì
因而,yīn’ér
饮料,yǐnliào
饮食,yǐnshí
印刷,yìnshuā
应,yīng
硬,yìng
硬件,yìngjiàn
拥抱,yōngbào
拥有,yōngyǒu
用不着,yòng bù zháo
用户,yònghù
用来,yòng lái
用于,yòng yú
优惠,yōuhuì
优先,yōuxiān
幽默,yōumò
尤其,yóuqí
由此,yóu cǐ
犹豫,yóuyù
游泳池,yóu yǒng chí
友谊,yǒuyì
有毒,yǒu dú
有害,yǒu hài
有力,yǒu lì
有利于,yǒu lì yú
有着,yǒu zhe
羽毛球,yǔmáoqiú
羽绒服,yǔróngfú
雨水,yǔ shuǐ
预备,yù bèi
预期,yùqī
元旦,uándàn
园林,yuánlín
原理,yuánlǐ
原始,yuánshǐ
原先,yuánxiān
原有,yuán yǒu
远处,yuǎn chù
怨,yuàn
愿,yuàn
约束,yuēshù
月饼,yuè bǐng
月球,yuè qiú
阅览室,yuè lǎn shì
运,yùn
运行,yùnxíng
灾,zāi
灾害,zāihài
灾难,zāinàn
灾区,zāi qū
再次,zài cì
再也,zài yě
在场,zài chǎng
在内,zài nèi
暂时,zànshí
暂停,zàn tíng
糟,zāo
糟糕,zāogāo
早期,zǎo qī
增,zēng
增产,zēng chǎn
增大,zēng dà
增多,zēng duō
增强,zēng qiáng
赠,zèng
赠送,zèngsòng
摘,zhāi
展览,zhǎnlǎn
展示,zhǎnshì
展现,zhǎnxiàn
占领,zhànlǐng
占有,zhàn yǒu
涨,zhǎng
涨价,zhǎng jià
掌握,zhǎngwò
招生,zhāo shēng
招手,zhāo shǒu
珍贵,zhēnguì
珍惜,zhēnxī
珍珠,zhēnzhū
真诚,zhēn chéng
真理,zhēnlǐ
真相,zhēnxiàng
诊断,zhěnduàn
振动,zhèndòng
震惊,zhènjīng
争议,zhēngyì
正版,zhèng bǎn
正规,zhèngguī
正如,zhèng rú
正义,zhèngyì
证实,zhèngshí
证书,zhèngshū
挣,zhèng
挣钱,zhèng qián
之内,zhī nèi
之外,zhī wài
之下,zhī xià
之中,zhī zhōng
支出,zhīchū
支配,zhīpèi
执行,zhíxíng
直线,zhí xiàn
值班,zhíbān
职能,zhínéng
职位,zhíwèi
职务,zhíwù
只不过,zhǐ bú guò
只见,zhǐ jiàn
指标,zhǐbiāo
指甲,zhǐjia
指示,zhǐshì
指责,zhǐzé
至,zhì
制成,zhì chéng
制约,zhìyuē
治安,zhì’ān
治理,zhìlǐ
中断,zhōngduàn
中秋节,zhōng qiū jié
中央,zhōngyāng
中药,zhōng yào
终点,zhōngdiǎn
终身,zhōngshēn
终止,zhōngzhǐ
中毒,zhòng dú
众多,zhòng duō
周期,zhōuqī
竹子,zhúzi
主办,zhǔbàn
主导,zhǔdǎo
主观,zhǔguān
主管,zhǔguǎn
主体,zhǔ tǐ
助理,zhùlǐ
助手,zhùshǒu
注册,zhùcè
注射,zhùshè
注视,zhùshì
注重,zhùzhòng
祝贺,zhùhè
专辑,zhuān jí
专利,zhuānlì
转化,zhuǎn huà
转换,zhuǎn huàn
转让,zhuǎnràng
转向,zhuǎn xiàng
装饰,zhuāngshì
撞,zhuàng
资本,zīběn
资产,zīchǎn
资助,zīzhù
子弹,zǐdàn
仔细,zǐxì
紫,zǐ
自豪,zìháo
自杀,zì shā
自愿,zìyuàn
总裁,zǒngcái
总数,zǒng shù
总算,zǒngsuàn
总体,zǒng tǐ
阻碍,zǔ’ài
组织,zǔzhī
醉,zuì
尊敬,zūnjìng
尊重,zūnzhòng
挨着,āi zhe
挨,ái
挨打,ái dǎ
安检,ān jiǎn
罢工,bàgōng
罢了,bà le
白领,bái lǐng
百分点,bǎi fēn diǎn
办公,bàn gōng
办事处,bàn shì chù
办学,bàn xué
半决赛,bàn jué sài
傍晚,bàngwǎn
保健,bǎo jiàn
报刊,bào kān
报考,bào kǎo
抱歉,bàoqiàn
暴风雨,bào fēng yǔ
暴力,bàolì
暴露,bàolù
暴雨,bào yǔ
爆,bào
爆发,bàofā
爆炸,bàozhà
悲惨,bēicǎn
背心,bèi xīn
背着,bèi zhe
被告,bèigào
奔跑,bēn pǎo
本,běn
本地,běn dì
本期,běn qī
本身,běnshēn
本土,běn tǔ
本质,běnzhì
逼,bī
笔试,bǐ shì
必将,bì jiāng
必修,bì xiū
闭,bì
边缘,biānyuán
编制,biān zhì
扁,biǎn
变更,biàn gēng
变换,biàn huàn
变形,biàn xíng
便,biàn
便是,biàn shì
遍地,biàn dì
表面上,biǎo miàn shàng
病房,bìng fáng
病情,bìng qíng
拨打,bō dǎ
波动,bō dòng
波浪,bōlàng
播,bō
不便,bú biàn
不见,bú jiàn
不料,búliào
不再,bú zài
不至于,bú zhì yú
补考,bǔ kǎo
补课,bǔ kè
补习,bǔ xí
补助,bǔ zhù
捕,bǔ
不成,bù chéng
不禁,bùjīn
不仅仅,bù jǐn jǐn
不通,bù tōng
不怎么,bù zěn me
不怎么样,bù zěn me yàng
不值,bù zhí
布满,bù mǎn
部队,bù duì
采纳,cǎinà
踩,cǎi
参赛,cān sài
参展,cān zhǎn
餐,cān
残疾,cánjí
残疾人,cán jí rén
残酷,cánkù
惨,cǎn
仓库,cāngkù
藏,cáng
操纵,cāozòng
厕所,cèsuǒ
侧,cè
测定,cè dìng
策划,cèhuà
策略,cèlüè
层面,céng miàn
差异,chā yì
查出,chá chū
查看,chá kàn
拆迁,chāi qiān
产量,chǎn liàng
昌盛,chāngshèng
长短,cháng duǎn
长假,cháng jià
长久,cháng jiǔ
长跑,cháng pǎo
长远,cháng yuǎn
常规,cháng guī
常年,cháng nián
厂商,chǎng shāng
场地,chǎng dì
场馆,chǎng guǎn
场景,chǎng jǐng
畅通,chàngtōng
超,chāo
超出,chāo chū
炒,chǎo
炒股,chǎo gǔ
炒作,chǎo zuò
车号,chē hào
车牌,chē pái
车展,chē zhǎn
撤离,chè lí
撤销,chèxiāo
撑,chēng
成,chéng
成分,chéngfèn
成品,chéng pǐn
承诺,chéngnuò
城区,chéng qū
城乡,chéng xiāng
城镇,chéng zhèn
持有,chí yǒu
冲击,chōngjī
重建,chóng jiàn
重组,chóng zǔ
崇拜,chóngbài
宠物,chǒngwù
冲,chōng
出场,chū chǎng
出动,chū dòng
出访,chū fǎng
出路,chūlù
出面,chū miàn
出名,chū míng
出入,chū rù
出事,chū shì
出台,chū tái
出行,chū xíng
初等,chū děng
除,chú
厨师,chú shī
储存,chǔcún
处处,chù chù
处长,chù zhǎng
传出,chuán chū
传媒,chuán méi
传输,chuán shū
传言,chuán yán
船员,chuán yuán
船长,chuán zhǎng
船只,chuán zhī
串,chuàn
窗口,chuāng kǒu
创办,chuàng bàn
创建,chuàng jiàn
创意,chuàng yì
此处,cǐ chù
此次,cǐ cì
此前,cǐ qián
此事,cǐ shì
此致,cǐ zhì
次数,cì shù
从不,cóng bù
从没,cóng méi
醋,cù
村庄,cūn zhuāng
错过,cuò guò
搭,dā
搭档,dādàng
搭配,dāpèi
打动,dǎ dòng
打断,dǎ duàn
打发,dǎ fa
打官司,dǎguānsi
打牌,dǎ pái
打印机,dǎ yìn jī
打造,dǎ zào
大道,dà dào
大街,dà jiē
大力,dà lì
大米,dà mǐ
大批,dà pī
大赛,dà sài
大师,dà shī
大使,dà shǐ
待会儿,dāi huìr
担忧,dān yōu
单打,dān dǎ
诞生,dànshēng
党,dǎng
当,dāng
当成,dāng chéng
当天,dāng tiān
当作,dàng zuò
档,dàng
档案,dàng’àn
岛,dǎo
到期,dào qī
盗版,dào bǎn
道教,dào jiào
道歉,dàoqiàn
低头,dī tóu
低温,dī wēn
滴,dī
抵达,dǐdá
抵抗,dǐkàng
地板,dì bǎn
地名,dì míng
地下室,dì xià shì
电车,diàn chē
电动,diàn dòng
电力,diàn lì
电器,diàn qì
吊,diào
调研,diào yán
跌,diē
定价,dìng jià
