Pinyin,Wade-Giles,Romatzyh
xианшенг,хсиеншенг,шианшенг
xианзаи,хсиенцаи,шианнтзаы
xианг,хсианг,шеанг
xиао,хсиао,шеау
xиаохаир,хсиаохаир,шеаухаирр
xиаопенгыоу,хсиаопенгыу,шеаупернгыеоу
xиаоши,хсиаоших,шеаушыр
xиаоxуе,хсиаохсуех,шеаушыуе
xиаоxуешенг,хсиаохсуехшенг,шеаушыуешенг
xиао,хсиао,шиауо
xие,хсиех,шиее
xиеxие,хсиехxие,шиехxие
xин,хсин,шин
xинниан,хсинниен,шинниан
xингки,хсингчи,шингчи
xингкири,хсингчийих,шингчирых
xингкитиан,хсингчитиен,шингчитиан
xинг,хсинг,шынг
xиуxи,хсиуxи,шиоуxи
xуе,хсуех,шыуе
xуешенг,хсуехшенг,шыуешенг
xуеxи,хсуеххси,шыуешыи
xуеxиао,хсуеххсиао,шыуешиауо
xуеыуан,хсуехыуан,шыуеыуанн
ыао,ыао,ыауо
ыеые,ыехые,ыеые
ые,ыех,ыее
ые,ыех,ыех
ыи,и,и
ыифу,ифу,ифу
ыишенг,ишенг,ишенг
ыиыуан,иыуан,иыуанн
ыидианр,итиенр,идеанр
ыонг,ыунг,ыонк
ыоу,ыу,ыеоу
ыоуде,ыуде,ыеоуде
ыоуминг,ыуминг,ыеоуминг
ыоуxие,ыухсиех,ыеоушие
ыоуыонг,ыуыунг,ыеоуыонк
ыоу,ыу,ыоуо
ыоубиан,ыубиан,ыоуобиан
ыу,ыу,ыеу
ыуан,ыуан,ыуан
ыуан,ыуан,ыеуан
ыуе,ыуех,ыуех
заи,цаи,тзаы
заийиан,цаичиен,тзаыйианн
заи,цаи,тзаы
заийиа,цаичиа,тзаыйиа
зао,цао,тзао
заофан,цаофан,тзаофанн
заошанг,цаошанг,тзаошанг
зенме,ценме,тзеенме
жан,чан,янн
жао,чао,яо
жаодао,чаотао,яодауо
же,че,йех
жебиан,чепиен,йехбиан
жели,чели,йехлии
жер,чер,йехр
жеxие,чехсиех,йехшие
жен,чен,йен
женде,ченде,йенде
женг,ченг,йенк
женгзаи,ченгцаи,йенктзаы
жидао,чихтао,йыдауо
жиши,чихши,йыши
жонг,чунг,йонг
жонггуо,чунгкуо,йонггуоо
жонгйиан,чунгчиен,йонгйиан
жонгуоен,чунгуоен,йонгуоен
жонгуоу,чунгуоу,йонгуоуу
жонгxуе,чунгхсуех,йонгшыуе
жонгxуешенг,чунгхсуехшенг,йонгшыуешенг
жонгыао,чунгыао,йонкыауо
жу,чу,юх
жунбеи,чунпеи,йоенбеы
жуози,чози,юози
зи,тзу,тзых
зоу,цоу,тзооу
зоулу,цоулу,тзооулух
зуи,цуи,тзуеы
зуихао,цуихао,тзуеыхао
зуихоу,цуихоу,тзуеыхоуо
зуотиан,цотиен,тзуоотиан
зуо,цо,тзуоо
зуобиан,цобиан,тзуообиан
зуо,цо,тзуох
аикинг,аичинг,аычынг
анйинг,анчинг,анйинк
анкуан,анчуан,анчыуан
баисе,паисе,баирсех
банжанг,панчанг,баняанг
бан,пан,банн
банфа,панфа,баннфаа
бангонгши,панкунгших,баннгонгшых
баные,паныех,банныех
бангжу,пангчу,бангюх
бао,пао,бао
баоминг,паоминг,бауоминг
баожи,паочих,бауойыы
беифанг,пеифанг,бееифанг
беи,пеи,беи
биру,пию,бииру
бирушуо,пиюшуо,биирушуо
би,пи,бии
бийи,пичи,биийих
бийибен,пичипен,биийихбеен
биxу,пихсу,бихшиу
биан,пиен,биан
биан,пиен,бианн
бианченг,пиенченг,бианнчернг
биан,пиен,бианн
биао,пиао,беау
биаоши,пиаоших,беаушых
буйиу,пучиу,бухйеоу
буман,пуман,бухмаан
буру,пую,бухру
бушао,пушао,бухшао
бутонг,путунг,бухторнг
буxинг,пухсинг,бухшынг
буыидинг,пуитинг,бухидинк
буфен,пуфен,бухфен
цаи,цаи,цаир
цаидан,цаитан,цаыдан
цангуан,цанкуан,цангуан
цанйиа,цанчиа,цанйиа
цао,цао,цао
цаоди,цаоти,цаодих
ценг,ценг,цернг
ча,ча,чар
чабудуо,чабуто,чахбудуо
чанг,чанг,чарнг
чангйиан,чангчиен,чарнгйианн
чангыонг,чангыунг,чарнгыонк
чаогуо,чаокуо,чаугуох
чаоши,чаоших,чаушых
челианг,челианг,челианк
ченг,ченг,ченг
ченг,ченг,чернг
ченгйи,ченгчи,чернгйих
ченгуоеи,ченгуоеи,чернгуоеи
чонгфу,чунгфу,чорнгфух
чонгxин,чунгхсин,чорнгшин
чуфа,чуфа,чуфа
чугуо,чукуо,чугуоо
чукоу,чукоу,чукооу
чумен,чумен,чумен
чушенг,чушенг,чушенг
чуxиан,чухсиен,чушианн
чуыуан,чуыуан,чуыуанн
чузу,чуцу,чутзу
чузуче,чуцуче,чутзуче
чуан,чуан,чуоан
чуи,чуи,чуеи
чунйие,чунчиех,чуенйые
чунтиан,чунтиен,чуентиан
ци,тзу,цыр
цидиан,тзутиен,цырдеан
циыу,тзуыу,цырыеу
цонгxиао,цунгхсиао,цорнгшеау
даыинг,таыинг,даыинг
дагонг,такунг,даагонг
дасуан,тасуан,даасуанн
даыин,таыин,дааыинн
дада,тата,дахдах
дадуошу,татошу,дахдуошух
дахаи,тахаи,даххае
дайиа,тачиа,дахйиа
далианг,талианг,дахлианк
дамен,тамен,дахмен
дашенг,ташенг,дахшенг
даxиао,тахсиао,дахшеау
даыи,таи,дахи
дазиран,татзуян,дахтзыхран
даи,таи,даы
даилаи,таилаи,даылаи
дануоеи,тануоеи,дануоеы
дан,тан,данн
данши,танших,данншых
дан,тан,данн
данг,танг,данг
дангши,тангших,дангшыр
дао,тао,дао
даочу,таочу,дауочух
дао,тао,дауо
дао,тао,дауо
даолу,таолу,дауолух
де,те,дер
дечу,течу,дерчу
дехуа,дехуа,дехуах
де,де,де
денг,тенг,денг
денг,тенг,деенг
денгдао,тенгтао,деенгдауо
денгыу,тенгыу,деенгыу
ди,ти,ди
дикиу,тичиу,дихчыоу
дитие,титиех,дихтиее
дитиежан,титиехчан,дихтиееянн
диантоу,тиентоу,деантоур
диан,тиен,дианн
диао,тиао,диауо
донгбеи,тунгпеи,донгбееи
донгфанг,тунгфанг,донгфанг
донгнан,тунгнан,донгнан
донгтиан,тунгтиен,донгтиан
донг,тунг,доонг
донгде,тунгде,доонгде
донгуоу,тунгуоу,донкуоух
донгуоуыуан,тунгуоуыуан,донкуоухыуан
дуыин,туыин,дуоуин
ду,ту,дух
дуан,туан,доан
дуанxин,туанхсин,доаншинн
дуан,туан,дуанн
дуи,туи,дуеы
дуижанг,туичанг,дуеыяанг
дуи,туи,дуеы
дуихуа,туихуа,дуеыхуах
дуимиан,туимиен,дуеымианн
дуо,то,дуо
дуойиу,точиу,дуойеоу
дуоме,томе,дуоме
дуошу,тошу,дуошух
дуоыун,тоыун,дуоыун
еркие,ерхчиех,ерлчиее
фа,фа,фа
фаxиан,фахсиен,фашианн
фангуан,фанкуан,фаннгоан
фангбиан,фангпиен,фангбианн
фангбианмиан,фангпиенмиен,фангбианнмианн
фангфа,фангфа,фангфаа
фангмиан,фангмиен,фангмианн
фангxианг,фангхсианг,фангшианк
фангxиа,фангхсиа,фанкшиах
фангxин,фангхсин,фанкшин
фен,фен,фен
фенкаи,фенкаи,фенкаи
феншу,феншу,феншух
фенжонг,фенчунг,фенйонг
фен,фен,фенн
фенг,фенг,фенг
фууоу,фууоу,фуоууоух
фуxи,фухси,фухшыи
гаи,каи,гаи
гаи,каи,гае
гаибиан,каипиен,гаебианн
ганбеи,канпеи,ганбеи
гандао,кантао,гаандауо
гандонг,кантунг,гаандонк
ганюе,канчуех,гаанйыуе
ганxие,канхсиех,гааншиех
ганхуор,канхуор,ганнхуоор
ганг,канг,ганг
гангцаи,кангцаи,гангцаир
гаойи,каочи,гауйыи
гаожонг,каочунг,гауйонг
гези,кози,гехзи
гонггонгкиче,кунгкунгчиче,гонггонкчихче
гонгйиаоче,кунгчиаоче,гонгйиауче
гонгйин,кунгчин,гонгйин
гонгли,кунгли,гонглии
гонглу,кунглу,гонглух
гонгпинг,кунгпинг,гонгпынг
гонгси,кунгссу,гонгсы
гонгыуан,кунгыуан,гонгыуан
гоу,коу,гооу
гоу,коу,гоуо
гуыи,куи,гухыих
гуке,куко,гухкех
гуанйи,куанчи,гуанйи
гуанxин,куанхсин,гуаншин
гуандиан,куантиен,гуандеан
гуангчанг,куангчанг,гоангчаанг
гуанггао,куангкао,гоанггауо
гуойи,куочи,гуоойих
гуолаи,куолаи,гуохлаи
гуониан,куониен,гуохниан
гуоку,куочу,гуохчиух
хаи,хаи,хае
хаибиан,хаипиен,хаебиан
хан,хан,хаан
хао,хао,хао
хаодуо,хаото,хаодуо
хаойиу,хаочиу,хаойеоу
хаорен,хаойен,хаорен
хаоши,хаоших,хаошых
хаоxианг,хаохсианг,хаошианк
хеши,хоших,хершых
хе,хо,хер
хеи,хеи,хеи
хеибан,хеипан,хеибаан
хеисе,хеисе,хеисех
хонг,хунг,хорнг
хонгсе,хунгсе,хорнгсех
хоулаи,хоулаи,хоуолаи
хуран,хуян,хуран
ху,ху,хуоу
хужао,хучао,хухяуо
хуа,хуа,хуа
хуаыуан,хуаыуан,хуаыуан
хуа,хуа,хуах
хуайиа,хуачиа,хуахйиа
хуар,хуар,хуахр
хуаирен,хуаийен,хуаырен
хуаныинг,хуаныинг,хуанынг
хуан,хуан,хуанн
хуанг,хуанг,хуоанг
хуангсе,хуангсе,хуоангсех
хуи,хуи,хуоеи
хуигуо,хуикуо,хуоеигуоо
хуи,хуи,хуеы
хуодонг,хуотунг,хуоодонк
хуо,хуо,хуох
хуоже,хуоче,хуохйее
йихуи,чихуи,йихуеы
йи,чи,йи
йи,чи,йыи
йи,чи,йыи
йихуа,чихуа,йиххуах
йисуанйи,чисуанчи,йихсуаннйи
йиа,чиа,йиа
йиаыоу,чиаыу,йиаыоу
йиа,чиа,йиа
йиатинг,чиатинг,йиатынг
йиажанг,чиачанг,йиаяанг
йиа,чиа,йеа
йиаки,чиачи,йиахчи
йианча,чиенча,йеанчар
йиандао,чиентао,йианндауо
йиангуо,йиангуо,йиангуо
йиан,чиен,йианн
йианканг,чиенканг,йианнканг
йианг,чианг,йеанг
йиангхуа,чиангхуа,йеангхуах
йиао,чиао,йиау
йиаогеи,чиаокеи,йиаугееи
йиаотонг,чиаотунг,йиаутонг
йиао,чиао,йеау
йиаоду,чиаоту,йеаудух
йиаози,чиаози,йеаузи
йиао,чиао,йеау
йиаозуо,чиаоцо,йиауотзуох
йиаоши,чиаоших,йиауошы
йиаоши,чиаоших,йиауошых
йиаоыу,чиаоыу,йиауоыух
йие,чиех,йие
йиедао,чиехтао,йиедауо
йиешоу,чиехшоу,йиешоуо
йиеxиалаи,чиеххсиалаи,йиешиахлаи
йиеже,чиехже,йиеже
йие,чиех,йие
йие,чиех,йые
йиему,чиехму,йыемух
йиери,чиехйих,йыерых
йие,чиех,йиех
йин,чин,йин
йинхоу,чинхоу,йинхоуо
йинру,чиню,йиннрух
йинxинг,чинхсинг,йинншынг
йин,чин,йинн
йингчанг,чингчанг,йингчарнг
йинггуо,чингкуо,йинггуох
йингли,чингли,йинглии
йиу,чиу,йеоу
йиудиан,чиутиен,йеоудианн
йиуыао,чиуыао,йиоуоыауо
ю,чу,йеу
юшоу,чушоу,йеушооу
юxинг,чухсинг,йеушынг
ю,чу,йиух
юзи,чузи,йиухзи
ка,ка,каа
каийи,каичи,каийи
каиxин,каихсин,каишин
каиxуе,каихсуех,каишыуе
канфа,канфа,каннфаа
каошенг,каошенг,каошенг
као,као,кауо
ке,ко,ке
кеxуе,кохсуех,кешыуе
ке’аи,коаи,кееаы
кененг,коненг,кеененг
кепа,копа,кеепах
кеши,коших,кеешых
кеыи,кои,кееыии
ке,ко,кех
ке,ко,кех
керен,койен,кехрен
кетанг,котанг,кехтарнг
конгки,кунгчи,конгчих
ку,ку,ку
куаицан,куаицан,куаыцан
куаидианр,куаитиенр,куаыдеанр
куаиле,куаиле,куаылех
куаиыао,куаиыао,куаыыауо
куаизи,куаизи,куаызи
ла,ла,лха
лаизи,лаитзу,лаитзых
лан,лан,лан
лансе,лансе,лансех
ланкиу,ланчиу,ланчыоу
лао,лао,лао
лао,лао,лао
лаониан,лаониен,лаониан
ли,ли,ли
ликаи,ликаи,ликаи
лиуоу,лиуоу,лииуоух
литоу,литоу,лиитоу
лиxианг,лихсианг,лиишеанг
лиру,лию,лихру
лизи,лизи,лихзи
лиан,лиен,леан
лиан,лиен,лианн
лианxи,лиенхси,лианншыи
лианг,лианг,лианг
лиангкуаи,лиангкуаи,лиангкуаи
лианг,лианг,леанг
лианг,лианг,лианк
лианг,лианг,лианк
лингxиа,лингхсиа,лингшиах
лиу,лиу,лиоу
лиуxиа,лиухсиа,лиоушиах
лиуxуешенг,лиухсуехшенг,лиоушыуешенг
лиу,лиу,лиоу
лиули,лиули,лиоулих
лиуxинг,лиухсинг,лиоушынг
лубиан,лупиен,лухбиан
маи,маи,маы
ман,ман,маан
маныи,мани,мааныих
мао,мао,мхау
ми,ми,мии
мианкиан,миенчиен,мианнчыан
минг,минг,минг
мингченг,мингченг,мингченг
мингдан,мингтан,мингдан
мингxинг,мингхсинг,мингшинг
муди,мути,мухдих
начу,начу,начу
надао,натао,надауо
нахуир,нахуир,наххуеыр
наме,наме,нахме
нашихоу,нашиххоу,нахшырхоу
наыанг,наыанг,нахыанк
нанфанг,нанфанг,нанфанг
нангуо,нанкуо,нангуох
нанкан,нанкан,нанканн
наншоу,наншоу,наншоуо
нанти,нанти,нантыи
нантинг,нантинг,нантинг
ненггоу,ненгкоу,ненггоуо
нианйи,ниенчи,нианйыи
нианкинг,ниенчинг,нианчинг
нули,нули,нуулих
па,па,пар
пашан,пашан,паршан
па,па,пах
паи,паи,паир
паидуи,паитуи,паирдуеы
паикиу,паичиу,паирчыоу
пенг,пенг,пенк
пенгдао,пенгтао,пенкдауо
пенгйиан,пенгчиен,пенкйианн
пиан,пиен,пиан
пиан,пиен,пианн
пиаолианг,пиаолианг,пиауолианг
пинг,пинг,пынг
пинг’ан,пинган,пынган
пингчанг,пингчанг,пынгчарнг
пингденг,пингтенг,пынгдеенг
пингши,пингших,пынгшыр
пинг,пинг,пынг
пингзи,пингзи,пынгзи
путонг,путунг,пуутонг
путонгхуа,путунгхуа,пуутонгхуах
кита,чита,чыита
кижонг,чичунг,чыийонг
ки,чи,чыи
киче,чиче,чыиче
кифеи,чифеи,чиифеи
ки,чи,чих
киуоен,чиуоен,чихуен
киан,чиен,чиан
кианке,чиенко,чианкех
кианниан,чиенниен,чыанниан
кианг,чианг,чыанг
кингниан,чингниен,чингниан
кингшаониан,чингшаониен,чингшауониан
кинг,чинг,чинг
кингчу,чингчу,чингчу
кинг,чинг,чынг
кингтиан,чингтиен,чынгтиан
кингке,чингко,чиингкех
кингкиу,чингчиу,чиингчыоу
киутиан,чиутиен,чиоутиан
киу,чиу,чыоу
киучанг,чиучанг,чыоучаанг
киудуи,чиутуи,чыоудуеы
киуxие,чиухсиех,чыоушые
ку,чу,чеу
куде,чуте,чеудер
куан,чуан,чыуан
куанбу,чуанпу,чыуанбух
куангуо,чуанкуо,чыуангуоо
куанйиа,чуанчиа,чыуанйиа
куанниан,чуанниен,чыуанниан
куаншен,чуаншен,чыуаншен
куанти,чуанти,чыуантии
ранхоу,янхоу,ранхоуо
ранг,янг,ранк
рекинг,йечинг,рехчынг
ренкоу,йенкоу,ренкооу
ренмен,йенмен,ренмен
реншу,йеншу,реншух
ренуоеи,йенуоеи,реннуоеи
рибао,йихпао,рыхбауо
ризи,йихзи,рыхзи
ругуо,юкуо,ругуоо
рукоу,юкоу,рухкооу
шанглианг,шанглианг,шанглианг
шангрен,шангйен,шангрен
шангжоу,шангчоу,шанкйоу
шаошу,шаошу,шаошух
шаониан,шаониен,шауониан
шенбиан,шенпиен,шенбиан
шенмеыанг,шенмеыанг,шернмеыанк
шенг,шенг,шенг
шенгци,шенгтзу,шенгцыр
шенгхуо,шенгхуо,шенгхуоо
шенгыин,шенгыин,шенгин
шенг,шенг,шеенг
шенг,шенг,шеенг
шифен,шихфен,шырфен
шийи,шихчи,шырйих
шиxи,шиххси,шыршыи
шиxиан,шиххсиен,шыршианн
шизаи,шихцаи,шыртзаы
шиуоу,шихуоу,шыруоух
шиыонг,шихыунг,шыыыонк
ши,ших,шых
шижанг,шихчанг,шыхяанг
шикинг,шихкинг,шыхкинг
шоу,шоу,шоу
шоудао,шоутао,шоудауо
шоуру,шоую,шоурух
шоубиао,шоупиао,шооубеау
шоудао,шоутао,шоуодауо
шуфу,шуфу,шуфу
шу,шу,шуоу
шу,шу,шуу
шузи,шутзу,шухтзых
шуипинг,шуипинг,шоеипынг
шунли,шунли,шуеннлих
шуоминг,шуоминг,шуоминг
сийи,ссучи,сыйи
сонгдао,сунгтао,сонкдауо
сонггеи,сунгкеи,сонкгееи
суан,суан,суанн
суиран,суиян,суеиран
суибиан,суипиен,суоеибианн
суиши,суиших,суоеишыр
суоыи,сои,суооыии
суоыоу,соыу,суооыеоу
та,та,та
тамен,тамен,тамен
таитаи,таитаи,таытаи
таиду,таиду,таыду
таолун,таолун,таолуенн
тао,тао,тауо
тебие,тепиех,техбые
тедиан,тетиен,техдеан
тенг,тенг,тернг
ти,ти,тыи
тичу,тичу,тыичу
тидао,титао,тыидауо
тигао,тикао,тыигау
ти,ти,тыи
тиыу,тиыу,тииыух
тиыучанг,тиыучанг,тииыухчаанг
тиыугуан,тиыукуан,тииыухгоан
тианшанг,тиеншанг,тианшанк
тиао,тиао,тыау
тиаойиан,тиаочиен,тыауйианн
тингйианг,тингчианг,тингйеанг
тингшуо,тингшуо,тингшуо
тинг,тинг,тынг
тингче,тингче,тынгче
тингчечанг,тингчечанг,тынгчечаанг
тинг,тинг,тиинг
тингхао,тингхао,тиингхао
тонг,тунг,тонг
тонггуо,тунгкуо,тонггуох
тонгжи,тунгчих,тонгйы
тонгши,тунгших,торнгшыр
тонгши,тунгших,торнгшых
тонгыанг,тунгыанг,торнгыанк
тоу,тоу,тоур
