Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
明年,минг ниан,минг  ниен ,минг ниан,мин нянь
明天,минг тиан,минг  тиен ,минг тиан,мин тянь
拿,на,на ,на,на
哪,на,на ,наа,на
哪里,на ли,на  ли ,наа лии,на ли
哪儿,на ер,на  р,наа р,на эр
哪些,на xие,на  хсиех ,наа шие,на се
那儿,на ер,на  р,нах р,на эр
那些,на xие,на  хсиех ,нах шие,на се
奶,наи,наи ,нае,най
奶奶,наи наи,наи  наи,нае наи,най най
男孩儿,нан хаи ер,нан  хаи  р,нан хаир р,хай эр
男生,нан шенг,нан  шенг ,нан шенг,шэн
呢,ни,не,не,ни
能,ненг,ненг ,ненг,нэн
你,ни,ни ,нии,ни
你们,ни мен,ни  мен,нии мен,ни мэнь
年,ниан,ниен ,ниан,нянь
您,нин,нин ,нин,нинь
牛奶,ниу наи,ниу  наи ,ниоу нае,ню най
旁边,панг биан,панг  пиен ,парнг биан,пан бянь
朋友,пенг ыоу,пенг  ыоу,пернг ыоу,пэн ю
票,пиао,пиао ,пиаво,пяо
七,ки,чи ,чи,ци
起,ки,чи ,чии,ци
起床,ки чуанг,чи  чуанг ,чии чвоанг,ци чуан
汽车,ки че,чи  че ,чих че,ци чэ
前,киан,чиен ,чыан,цянь
前天,киан тиан,чиен  тиен ,чыан тиан,цянь тянь
钱,киан,чиен ,чыан,цянь
钱包,киан бао,чиен  пао ,чыан бау,цянь бао
请,кинг,чинг ,чиинг,цин
请假,кинг йиа,чинг  чиа ,чиинг йиах,цин цзя
请进,кинг йин,чинг  чин ,чиинг йинн,цин цзинь
请问,кинг воен,чинг  воен ,чиинг военн,цин вэнь
请坐,кинг зуо,чинг  цо ,чиинг тзуох,цин цзо
球,киу,чиу ,чыоу,цю
去,ку,чу ,чиух,цюй
去年,ку ниан,чу  ниен ,чиух ниан,цюй нянь
热,ре,йе ,рех,жэ
人,рен,йен ,рен,жэнь
认识,рен ши,йен  ши,ренн ши,жэнь ши
认真,рен жен,йен  чен ,ренн йен,жэнь чжэнь
日,ри,йих ,рых,жи
日期,ри ки,йих  чи ,рых чи,жи ци
肉,роу,йоу ,рово,жоу
三,сан,сан ,сан,сань
山,шан,шан ,шан,шань
商场,шанг чанг,шанг  чанг ,шанг чаанг,шан чан
商店,шанг диан,шанг  тиен ,шанг дианн,шан дянь
上,шанг,шанг ,шанк,шан
上班,шанг бан,шанг  пан ,шанк бан,шан бань
上车,шанг че,шанг  че ,шанк че,шан чэ
上次,шанг ци,шанг  тзу ,шанк цых,шан цы
上课,шанг ке,шанг  ко ,шанк кех,шан кэ
上网,шанг воанг,шанг  воанг ,шанк вооанг,шан ван
上午,шанг воу,шанг  воу ,шанк воуу,шан у
上学,шанг xуе,шанг  хсуех ,шанк шыуе,шан сюэ
少,шао,шао ,шао,шао
谁,шуи,шеи ,шеир,шуй
身体,шен ти,шен  ти ,шен тии,шэнь ти
什么,ши ыао,шен  ме,шерн ме,ши яо
生病,шенг бинг,шенг  пинг ,шенг бинк,шэн бин
生气,шенг ки,шенг  чи ,шенг чих,шэн ци
生日,шенг ри,шенг  йих ,шенг рых,шэн жи
十,ши,ших ,шыр,ши
时候,ши хоу,ших  хоу,шыр хоу,ши хоу
时间,ши йиан,ших  чиен ,шыр йиан,ши цзянь
事,ши,ших ,шых,ши
试,ши,ших ,шых,ши
是,ши,ших ,шых,ши
手,шоу,шоу ,шооу,шоу
手机,шоу йи,шоу  чи ,шооу йи,шоу цзи
书,шу,шу ,шу,шу
书包,шу бао,шу  пао ,шу бау,шу бао
书店,шу диан,шу  тиен ,шу дианн,шу дянь
树,шу,шу ,шух,шу
水,шуи,шуи ,шоеи,шуй
水果,шуи гуо,шуи  куо ,шоеи гуоо,шуй го
睡,шуи,шуи ,шуеы,шуй
睡觉,шуи юе,шуи  чиао ,шуеы йиаво,шуй цзюэ
说话,шуо хуа,шуо  хуа ,шуо хуах,шо хуа
四,си,ссу ,сых,сы
送,сонг,сунг ,сонк,сун
岁,суи,суи ,суеы,суй
他,та,та ,та,та
他们,та мен,та  мен,та мен,та мэнь
她,та,та ,та,та
她们,та мен,та  мен,та мен,та мэнь
太,таи,таи ,таы,тай
天,тиан,тиен ,тиан,тянь
天气,тиан ки,тиен  чи ,тиан чих,тянь ци
听,тинг,тинг ,тинг,тин
听到,тинг дао,тинг  тао ,тинг даво,тин дао
听见,тинг йиан,тинг  чиен ,тинг йианн,тин цзянь
听写,тинг xие,тинг  хсиех ,тинг шиее,тин се
同学,тонг xуе,тунг  хсуех ,торнг шыуе,тун сюэ
图书馆,ту шу гуан,ту  шу  куан ,твоу шу гоан,ту шу гуань
外,воаи,воаи ,воаы,вай
外国,воаи гуо,воаи  куо ,воаы гвоо,вай го
外语,воаи ыу,воаи  ыу ,воаы ыеу,вай юй
玩儿,воан ер,воан  р,воан р,вань эр
晚,воан,воан ,вооан,вань
晚饭,воан фан,воан  фан ,вооан фанн,вань фань
晚上,воан шанг,воан  шанг,вооан шанг,вань шан
网上,воанг шанг,воанг  шанг ,вооанг шанк,ван шан
网友,воанг ыоу,воанг  ыу ,вооанг ыеоу,ван ю
忘,воанг,воанг ,воанк,ван
忘记,воанг йи,воанг  чи ,воанк йих,ван цзи
问,воен,воен ,военн,вэнь
我,воо,воо ,вооо,во
我们,воо мен,воо  мен,вооо мен,во мэнь
五,воу,воу ,воуу,у
午饭,воу фан,воу  фан ,воуу фанн,у фань
西,xи,хси ,ши,си
西边,xи биан,хси  пиен ,ши биан,си бянь
洗,xи,хси ,шии,си
洗手间,xи шоу йиан,хси  шоу  чиен ,шии шооу йиан,си шоу цзянь
喜欢,xи хуан,хси  хуан,шии хуан,си хуань
下,xиа,хсиа ,шиах,ся
下班,xиа бан,хсиа  пан ,шиах бан,ся бань
下车,xиа че,хсиа  че ,шиах че,ся чэ
下次,xиа ци,хсиа  тзу ,шиах цых,ся цы
下课,xиа ке,хсиа  ко ,шиах кех,ся кэ
下午,xиа воу,хсиа  воу ,шиах воуу,ся у
下雨,xиа ыу,хсиа  ыу ,шиах ыеу,ся юй
先,xиан,хсиен ,шиан,сянь
先生,xиан шенг,хсиен  шенг,шиан шенг,сянь шэн
现在,xиан заи,хсиен  цаи ,шианн тзаы,сянь цзай
想,xианг,хсианг ,шеанг,сян
小,xиао,хсиао ,шеау,сяо
小孩儿,xиао хаи ер,хсиао  хаи  р,шеау хаир р,сяо хай эр
小朋友,xиао пенг ыоу,хсиао  пенг  ыу ,шеау пернг ыеоу,сяо пэн ю
小时,xиао ши,хсиао  ших ,шеау шыр,сяо ши
小学,xиао xуе,хсиао  хсуех ,шеау шыуе,сяо сюэ
小学生,xиао xуе шенг,хсиао  хсуех  шенг ,шеау шыуе шенг,сяо сюэ шэн
笑,xиао,хсиао ,шиаво,сяо
写,xие,хсиех ,шиее,се
谢谢,xие xие,хсиех  xие,шиех xие,се се
新,xин,хсин ,шин,синь
新年,xин ниан,хсин  ниен ,шин ниан,синь нянь
星期,xинг ки,хсинг  чи ,шинг чи,син ци
星期日,xинг ки ри,хсинг  чи  йих ,шинг чи рых,син ци жи
星期天,xинг ки тиан,хсинг  чи  тиен ,шинг чи тиан,син ци тянь
行,xинг,хсинг ,шынг,син
休息,xиу xи,хсиу  xи,шиоу xи,сю си
学,xуе,хсуех ,шыуе,сюэ
学生,xуе шенг,хсуех  шенг,шыуе шенг,сюэ шэн
学习,xуе xи,хсуех  хси ,шыуе шыи,сюэ си
学校,xуе xиао,хсуех  хсиао ,шыуе шиаво,сюэ сяо
学院,xуе ыуан,хсуех  ыуан ,шыуе ыуанн,сюэ юань
要,ыао,ыао ,ыаво,яо
爷爷,ые ые,ыех  ые,ые ые,е е
也,ые,ыех ,ыее,е
页,ые,ыех ,ыех,е
一,ыи,и ,и,и
衣服,ыи фу,и  фу,и фу,и фу
医生,ыи шенг,и  шенг ,и шенг,и шэн
医院,ыи ыуан,и  ыуан ,и ыуанн,и юань
一点儿,ыи диан ер,и  тиен  р,и деан р,и дянь эр
用,ыонг,ыунг ,ыонк,юн
有,ыоу,ыу ,ыеоу,ю
有的,ыоу де,ыу  де,ыеоу де,ю дэ
有名,ыоу минг,ыу  минг ,ыеоу минг,ю мин
有些,ыоу xие,ыу  хсиех ,ыеоу шие,ю се
有用,ыоу ыонг,ыу  ыунг ,ыеоу ыонк,ю юн
右,ыоу,ыу ,ыово,ю
右边,ыоу биан,ыу  биан,ыово биан,ю бянь
雨,ыу,ыу ,ыеу,юй
元,ыуан,ыуан ,ыуан,юань
远,ыуан,ыуан ,ыеуан,юань
月,ыуе,ыуех ,ыуех,юэ
再,заи,цаи ,тзаы,цзай
再见,заи йиан,цаи  чиен ,тзаы йианн,цзай цзянь
在,заи,цаи ,тзаы,цзай
在家,заи йиа,цаи  чиа ,тзаы йиа,цзай цзя
早,зао,цао ,тзао,цзао
早饭,зао фан,цао  фан ,тзао фанн,цзао фань
早上,зао шанг,цао  шанг,тзао шанг,цзао шан
怎么,зен ыао,цен  ме,тзеен ме,цзэнь яо
站,жан,чан ,янн,чжань
找,жао,чао ,яо,чжао
找到,жао дао,чао  тао ,яо даво,чжао дао
这,же,че ,йех,чжэ
这边,же биан,че  пиен ,йех биан,чжэ бянь
这里,же ли,че  ли ,йех лии,чжэ ли
这儿,же ер,че  р,йех р,чжэ эр
这些,же xие,че  хсиех ,йех шие,чжэ се
真,жен,чен ,йен,чжэнь
真的,жен де,чен  де,йен де,чжэнь дэ
正,женг,ченг ,йенк,чжэн
正在,женг заи,ченг  цаи ,йенк тзаы,чжэн цзай
知道,жи дао,чих  тао ,йы даво,чжи дао
知识,жи ши,чих  ши,йы ши,чжи ши
中,жонг,чунг ,йонг,чжун
中国,жонг гуо,чунг  куо ,йонг гвоо,чжун го
中间,жонг йиан,чунг  чиен ,йонг йиан,чжун цзянь
中文,жонг воен,чунг  воен ,йонг воен,чжун вэнь
中午,жонг воу,чунг  воу ,йонг воуу,чжун у
中学,жонг xуе,чунг  хсуех ,йонг шыуе,чжун сюэ
中学生,жонг xуе шенг,чунг  хсуех  шенг ,йонг шыуе шенг,чжун сюэ шэн
重要,жонг ыао,чунг  ыао ,йонк ыаво,чжун яо
住,жу,чу ,юх,чжу
准备,жун беи,чун  пеи ,йоен беы,чжунь бэй
桌子,жуо зи,чо  зи,юо зи,чжо цзы
字,зи,тзу ,тзых,цзы
走,зоу,цоу ,тзооу,цзоу
走路,зоу лу,цоу  лу ,тзооу лух,цзоу лу
最,зуи,цуи ,тзуеы,цзуй
最好,зуи хао,цуи  хао ,тзуеы хао,цзуй хао
最后,зуи хоу,цуи  хоу ,тзуеы хово,цзуй хоу
昨天,зуо тиан,цо  тиен ,тзвоо тиан,цзо тянь
左,зуо,цо ,тзуоо,цзо
左边,зуо биан,цо  биан,тзуоо биан,цзо бянь
坐,зуо,цо ,тзуох,цзо
爱情,аи кинг,аи  чинг ,аы чынг,ай цин
安静,ан йинг,ан  чинг ,ан йинк,ань цзин
安全,ан куан,ан  чуан ,ан чыуан,ань цюань
白色,баи се,паи  се ,баир сех,бай сэ
班长,бан чанг,пан  чанг ,бан яанг,бань чан
办,бан,пан ,банн,бань
办法,бан фа,пан  фа ,банн фаа,бань фа
办公室,бан гонг ши,пан  кунг  ших ,банн гонг шых,бань гун ши
半夜,бан ые,пан  ыех ,банн ыех,бань е
帮助,банг жу,панг  чу ,банг юх,бан чжу
饱,бао,пао ,бао,бао
报名,бао минг,пао  минг ,баво минг,бао мин
报纸,бао жи,пао  чих ,баво йыы,бао чжи
北方,беи фанг,пеи  фанг ,бееи фанг,бэй фан
背,беи,пеи ,беи,бэй
比如,би ру,пи  ю ,бии ру,би жу
比如说,би ру шуо,пи  ю  шуо ,бии ру шуо,би жу шо
笔,би,пи ,бии,би
笔记,би йи,пи  чи ,бии йих,би цзи
笔记本,би йи бен,пи  чи  пен ,бии йих беен,би цзи бэнь
必须,би xу,пи  хсу ,бих шиу,би сюй
边,биан,пиен ,биан,бянь
变,биан,пиен ,бианн,бянь
变成,биан ченг,пиен  ченг ,бианн чернг,бянь чэн
遍,биан,пиен ,бианн,бянь
表,биао,пиао ,беау,бяо
表示,биао ши,пиао  ших ,беау шых,бяо ши
不久,бу йиу,пу  чиу ,бух йеоу,бу цзю
不满,бу ман,пу  ман ,бух маан,бу мань
不如,бу ру,пу  ю ,бух ру,бу жу
不少,бу шао,пу  шао ,бух шао,бу шао
不同,бу тонг,пу  тунг ,бух торнг,бу тун
不行,бу xинг,пу  хсинг ,бух шынг,бу син
不一定,бу ыи динг,пу  и  тинг ,бух и динк,бу и дин
部分,бу фен,пу  фен,бух фен,бу фэнь
才,цаи,цаи ,цаир,цай
菜单,цаи дан,цаи  тан ,цаы дан,цай дань
参观,цан гуан,цан  куан ,цан гуан,цань гуань
参加,цан йиа,цан  чиа ,цан йиа,цань цзя
草,цао,цао ,цао,цао
草地,цао ди,цао  ти ,цао дих,цао ди
层,ценг,ценг ,цернг,цэн
查,ча,ча ,чар,ча
差不多,ча бу дуо,ча  бу то ,чах бу дуо,ча бу до
长,чанг,чанг ,чарнг,чан
常见,чанг йиан,чанг  чиен ,чарнг йианн,чан цзянь
常用,чанг ыонг,чанг  ыунг ,чарнг ыонк,чан юн
超过,чао гуо,чао  куо ,чау гуох,чао го
超市,чао ши,чао  ших ,чау шых,чао ши
车辆,че лианг,че  лианг ,че лианк,чэ лян
称¹,ченг  ,ченг ,ченг,чэн
成,ченг,ченг ,чернг,чэн
成绩,ченг йи,ченг  чи ,чернг йих,чэн цзи
成为,ченг воеи,ченг  воеи ,чернг воеи,чэн вэй
重复,жонг фу,чунг  фу ,чорнг фух,чжун фу
重新,жонг xин,чунг  хсин ,чорнг шин,чжун синь
出发,чу фа,чу  фа ,чу фа,чу фа
出国,чу гуо,чу  куо ,чу гвоо,чу го
出口,чу коу,чу  коу ,чу кооу,чу коу
出门,чу мен,чу  мен ,чу мен,чу мэнь
出生,чу шенг,чу  шенг ,чу шенг,чу шэн
出现,чу xиан,чу  хсиен ,чу шианн,чу сянь
出院,чу ыуан,чу  ыуан ,чу ыуанн,чу юань
出租,чу зу,чу  цу ,чу тзу,чу цзу
出租车,чу зу че,чу  цу  че ,чу тзу че,чу цзу чэ
船,чуан,чуан ,чвоан,чуань
吹,чуи,чуи ,чуеи,чуй
春节,чун йие,чун  чиех ,чуен йые,чунь цзе
春天,чун тиан,чун  тиен ,чуен тиан,чунь тянь
词,ци,тзу ,цыр,цы
词典,ци диан,тзу  тиен ,цыр деан,цы дянь
词语,ци ыу,тзу  ыу ,цыр ыеу,цы юй
从小,цонг xиао,цунг  хсиао ,цорнг шеау,цун сяо
答应,да ыинг,та  ыинг,да ыинг,да ин
打工,да гонг,та  кунг ,даа гонг,да гун
打算,да суан,та  суан ,даа суанн,да суань
打印,да ыин,та  ыин ,даа ыинн,да инь
大大,да да,та  та ,дах дах,да да
大多数,да дуо шу,та  то  шу ,дах дуо шух,да до шу
大海,да хаи,та  хаи ,дах хае,да хай
大家,да йиа,та  чиа ,дах йиа,да цзя
大量,да лианг,та  лианг ,дах лианк,да лян
大门,да мен,та  мен ,дах мен,да мэнь
大声,да шенг,та  шенг ,дах шенг,да шэн
大小,да xиао,та  хсиао ,дах шеау,да сяо
大衣,да ыи,та  и ,дах и,да и
大自然,да зи ран,та  тзу  ян ,дах тзых ран,да цзы жань
带,даи,таи ,даы,дай
带来,даи лаи,таи  лаи ,даы лаи,дай лай
单位,дан воеи,тан  воеи ,дан воеы,дань вэй
但,дан,тан ,данн,дань
但是,дан ши,тан  ших ,данн шых,дань ши
蛋,дан,тан ,данн,дань
当,данг,танг ,данг,дан
当时,данг ши,танг  ших ,данг шыр,дан ши
倒,дао,тао ,дао,дао
到处,дао чу,тао  чу ,даво чух,дао чу
倒,дао,тао ,даво,дао
道,дао,тао ,даво,дао
道路,дао лу,тао  лу ,даво лух,дао лу
得,де,те ,дер,дэ
得出,де чу,те  чу ,дер чу,дэ чу
的话,де хуа,де хуа ,де хуах,дэ хуа
得,де,де,де,дэ
灯,денг,тенг ,денг,дэн
等,денг,тенг ,деенг,дэн
等到,денг дао,тенг  тао ,деенг даво,дэн дао
等于,денг ыу,тенг  ыу ,деенг ыу,дэн юй
低,ди,ти ,ди,ди
地球,ди киу,ти  чиу ,дих чыоу,ди цю
地铁,ди тие,ти  тиех ,дих тиее,ди те
地铁站,ди тие жан,ти  тиех  чан ,дих тиее янн,ди те чжань
点头,диан тоу,тиен  тоу ,деан тоур,дянь тоу
店,диан,тиен ,дианн,дянь
掉,диао,тиао ,диаво,дяо
东北,донг беи,тунг  пеи ,донг бееи,дун бэй
东方,донг фанг,тунг  фанг ,донг фанг,дун фан
东南,донг нан,тунг  нан ,донг нан,дун
冬天,донг тиан,тунг  тиен ,донг тиан,дун тянь
懂,донг,тунг ,доонг,дун
懂得,донг де,тунг  де,доонг де,дун дэ
动物,донг воу,тунг  воу ,донк воух,дун у
动物园,донг воу ыуан,тунг  воу  ыуан ,донк воух ыуан,дун у юань
读音,ду ыин,ту  ыин ,двоу ин,ду инь
度,ду,ту ,дух,ду
短,дуан,туан ,доан,дуань
