Pinyin,Wade-Giles,Romatzyh,Palladiy,Result
та,та ,та,та,та
тао,тао ,таво,тао,тао
тенг,тенг ,тернг,тэн,тенг
ти,ти ,тыи,ти,ти
ти,ти ,тыи,ти,ти
тиао,тиао ,тыау,тяо,тиао
тинг,тинг ,тынг,тин,тинг
тинг,тинг ,тиинг,тин,тинг
тонг,тунг ,тонг,тун,тонг
тоу,тоу ,тоур,тоу,тоу
тоу,тоу ,тоур,тоу,тоу
туи,туи ,туеи,туй,туи
туи,туи ,тоеи,туй,туи
воан,воан ,воан,вань,воан
воан,воан ,вооан,вань,воан
воанг,воанг ,вооанг,ван,воанг
воанг,воанг ,вооанг,ван,воанг
воеи,воеи ,воеы,вэй,воеи
воеи,воеи ,воеы,вэй,воеи
воеи,воеи ,воеы,вэй,воеи
воен,воен ,воен,вэнь,воен
xиа,хсиа ,шиах,ся,xиа
xианг,хсианг ,шеанг,сян,xианг
xианг,хсианг ,шианк,сян,xианг
xианг,хсианг ,шианк,сян,xианг
xиао,хсиао ,шеау,сяо,xиао
xие,хсиех ,шые,се,xие
xин,хсин ,шинн,синь,xинн
xинг,хсинг ,шинк,син,xинг
xуан,хсуан ,шеуан,сюань,xуанн
xуе,хсуех ,шеуе,сюэ,xуу
ыан,ыан ,ыеан,янь,ыан
ыанг,ыанг ,ыеанг,ян,ыанг
ыао,ыао ,ыаво,яо,ыао
ые,ыех ,ыех,е,ые
ыи,и ,ыих,и,ыи
ыин,ыин ,ин,инь,ыин
ыоу,ыу ,ыоу,ю,ыо
ыоу,ыу ,ыово,ю,ыоу
ыу,ыу ,ыу,юй,ыу
ыуан,ыуан ,ыуанн,юань,ыуан
ыуе,ыуех ,ыуех,юэ,ыуе
ыун,ыун ,ыун,юнь,ыун
зан,цан ,тзарн,цзань,цан
жан,чан ,янн,чжань,чан
жан,чан ,янн,чжань,чан
чанг,чанг ,яанг,чан,чанг
жи,чих ,йыы,чжи,чи
жи,чих ,йыы,чжи,чи
жоу,чоу ,йоу,чжоу,чоу
жуанг,чуанг ,юанг,чжуан,чуанг
зу,цу ,тзу,цзу,цуу
зу,цу ,тзуу,цзу,цуу
зуи,цуи ,тзоеи,цзуй,цуи
зуо,цо ,тзуох,цзо,цзо
ан,ан ,анн,ань,ан
ба,па ,баа,ба,ба
ба,па ,баа,ба,ба
баи,паи ,баир,бай,баи
бан,пан ,бан,бань,бан
бан,пан ,баан,бань,бан
бао,пао ,бао,бао,бао
бао,пао ,баво,бао,бао
беи,пеи ,беы,бэй,беи
беи,пеи ,беы,бэй,беи
беи,пеи ,беы,бэй,беи
бинг,пинг ,бинк,бин,бинг
бу,пу ,буу,бу,бу
бу,пу ,бух,бу,бу
бу,пу ,бух,бу,бу
бу,пу ,бух,бу,бу
жао,чао ,чаур,чжао,чао
чао,чао ,чао,чао,чао
ченг,ченг ,чернг,чэн,ченг
чу,чу ,чу,чу,чу
чу,чу ,чу,чу,чу
чуан,чуан ,чвоан,чуань,чуан
цун,цун ,цуен,цунь,цун
цун,цун ,цвоен,цунь,цун
даи,таи ,даы,дай,даи
дао,тао ,дау,дао,дао
диао,тиао ,диаво,дяо,диао
динг,тинг ,динк,дин,динг
дуан,туан ,дуанн,дуань,дуан
дун,тун ,дуенн,дунь,дун
фанг,фанг ,фарнг,фан,фанг
феи,феи ,феы,фэй,феи
фу,фу ,фвоу,фу,фу
фу,фу ,фух,фу,фу
фу,фу ,фух,фу,фу
ган,кан ,гаан,гань,ган
ган,кан ,гаан,гань,ган
ге,ко ,гех,гэ,ге
гу,ку ,гуу,гу,гу
гуа,куа ,гуах,гуа,гуа
гуан,куан ,гоан,гуань,гуан
гуанг,куанг ,гуанг,гуан,гуанг
xинг,ханг ,харнг,син,хинг
хе,хо ,хер,хэ,хе
хуа,хуа ,хуах,хуа,хуа
хуан,хуан ,хвоан,хуань,хуан
хуо,хуо ,хвоо,хо,хуо
хуо,хуо ,хуоо,хо,хуо
йиа,чиа ,йиах,цзя,йиа
йиан,чиен ,йианн,цзянь,йиан
йиао,чиао ,йиаво,цзяо,йиао
йиао,чиао ,йиаво,цзяо,йиао
йин,чин ,йин,цзинь,йин
йин,чин ,йиин,цзинь,йинн
йин,чин ,йиин,цзинь,йинн
йинг,чинг ,йинк,цзин,йинг
йиу,чиу ,йеоу,цзю,йиу
йиу,чиу ,йиово,цзю,йиу
йиу,чиу ,йиово,цзю,йиу
конг,кунг ,конг,кун,конг
кун,кун ,куенн,кунь,кун
ле,ле ,лех,лэ,ле
леи,леи ,леы,лэй,леи
ли,ли ,лих,ли,ли
лиан,лиен ,лиан,лянь,лиан
ле,ле,ле,лэ,ле
линг,линг ,лиинг,лин,линг
лонг,лунг ,лонг,лун,лонг
лу,лу ,лух,лу,лу
луан,луан ,луанн,луань,луан
ма,ма ,маа,ма,ма
мао,мао ,мау,мао,мао
меи,меи ,мееи,мэй,меи
меи,меи ,мееи,мэй,меи
ми,ми ,ми,ми,ми
ми,ми ,мии,ми,ми
моу,моу ,мооу,моу,моу
неи,неи ,неы,нэй,неи
ниан,ниен ,нианн,нянь,ниан
ниу,ниу ,ниоу,ню,ниу
па,па ,пах,па,па
паи,паи ,паи,пай,паи
паи,паи ,паир,пай,паи
паи,паи ,паы,пай,паи
пеи,пеи ,пеы,пэй,пеи
пи,пи ,пыи,пи,пи
по,по ,пох,по,по
ки,чи ,чи,ци,чи
ки,чи ,чыи,ци,чи
кианг,чианг ,чыанг,цян,чианг
киао,чиао ,чыау,цяо,чиао
киао,чиао ,чеау,цяо,чиао
кин,чин ,чин,цинь,чин
ку,чу ,чиу,цюй,чу
куе,чуех ,чиуе,цюэ,чуе
кун,чун ,чыун,цюнь,чун
рен,йен ,ренн,жэнь,рен
рен,йен ,ренн,жэнь,рен
ренг,йенг ,ренг,жэн,ренг
шанг,шанг ,шанг,шан,шанг
шен,шен ,шен,шэнь,шен
шенг,шенг ,шенг,шэн,шенг
шенг,шенг ,шенг,шэн,шенг
шенг,шенг ,шенк,шэн,шенг
ши,ших ,шыр,ши,ши
ши,ших ,шыы,ши,ши
ши,ших ,шых,ши,ши
шоу,шоу ,шово,шоу,шоу
шу,шу ,шу,шу,шу
шу,шу ,шуу,шу,шу
шу,шу ,шух,шу,шу
шуанг,шуанг ,шуанг,шуан,шуанг
си,ссу ,сыы,сы,сы
суи,суи ,своеи,суй,суи
суо,со ,суоо,со,суо
таи,таи ,таир,тай,таи
тан,тан ,тарн,тань,тан
танг,танг ,танг,тан,танг
танг,танг ,тарнг,тан,танг
тиан,тиен ,тыан,тянь,тиан
диао,тиао ,тыау,дяо,диао
тиао,тиао ,тиаво,тяо,тиао
тие,тиех ,тиее,те,тие
тонг,тунг ,тонк,тун,тонг
тоу,тоу ,тоур,тоу,тоу
ту,ту ,твоу,ту,ту
ту,ту ,туу,ту,ту
туан,туан ,твоан,туань,туан
туи,туи ,туеы,туй,туи
воеи,воеи ,воеи,вэй,воеи
воеи,воеи ,воеы,вэй,воеи
воеи,воеи ,воеи,вэй,воеи
xи,хси ,ших,си,xи
xиан,хсиен ,шианн,сянь,xиан
xианг,хсианг ,шианг,сян,xианг
xие,хсуех ,шиуех,се,xиу
xин,хсин ,шин,синь,xин
xин,хсин ,шинн,синь,xинн
xинг,хсинг ,шинк,син,xинг
xиу,хсиу ,шиоу,сю,xиу
ыа,ыа ,иа,я,ыа
ыан,ыан ,иан,янь,ыан
ыан,ыан ,ыеан,янь,ыан
ыанг,ыанг ,ыанг,ян,ыанг
ыи,и ,ыии,и,ыи
ыин,ыин ,ын,инь,ыин
ыинг,ыинг ,ынг,ин,ыинг
ыоу,ыу ,ыоу,ю,ыо
ыоу,ыу ,ыоу,ю,ыо
ыуан,ыуан ,ыуан,юань,ыуан
ыуе,ыуех ,иуе,юэ,ыуе
зао,цао ,тзаво,цзао,цао
жанг,чанг ,янг,чжан,чанг
жао,чао ,яво,чжао,чао
же,че ,йее,чжэ,че
женг,ченг ,йенг,чжэн,ченг
женг,ченг ,йеенг,чжэн,ченг
женг,ченг ,йенк,чжэн,ченг
женг,ченг ,йенк,чжэн,ченг
жи,чих ,йы,чжи,чи
жи,чих ,йы,чжи,чи
жи,чих ,йыр,чжи,чи
жи,чих ,йыр,чжи,чи
жи,чих ,йыы,чжи,чи
жонг,чунг ,йонг,чжун,чонг
жонг,чунг ,йоонг,чжун,чонг
жу,чу ,ю,чжу,чу
жу,чу ,юх,чжу,чу
жуа,чуа ,юа,чжуа,чуа
жуан,чуан ,юанн,чжуань,чуан
жун,чун ,йоен,чжунь,чунн
зонг,цунг ,тзоонг,цзун,цзнг
аи,аи ,ае,ай,аи
ан,ан ,ан,ань,ан
ан,ан ,анн,ань,ан
баи,паи ,бае,бай,баи
баи,паи ,баы,бай,баи
бао,пао ,бао,бао,бао
бао,пао ,баво,бао,бао
беи,пеи ,беы,бэй,беи
бен,пен ,бенн,бэнь,бен
би,пи ,бих,би,би
биан,пиен ,биан,бянь,биан
бие,пиех ,бые,бе,бие
бинг,пинг ,бинг,бин,бинг
бинг,пинг ,бинг,бин,бинг
бинг,пинг ,бинк,бин,бинг
ца,ца ,ца,ца,ца
цаи,цаи ,цаир,цай,цаи
це,це ,цех,цэ,це
ценг,ценг ,цернг,цэн,ценг
чао,чао ,чау,чао,чао
чао,чао ,чаур,чао,чао
чен,чен ,черн,чэнь,чен
чонг,чунг ,чонг,чун,чонг
чоу,чоу ,чоу,чоу,чоу
чу,чу ,чуу,чу,чу
чун,чун ,чвоен,чунь,чун
ци,тзу ,цыы,цы,цы
ци,тзу ,цых,цы,цы
ци,тзу ,цых,цы,цы
цу,цу ,цу,цу,цу
даи,таи ,даы,дай,даи
даи,таи ,даы,дай,даи
дан,тан ,дан,дань,дан
дан,тан ,данн,дань,дан
денг,тенг ,денг,дэн,денг
динг,тинг ,диинг,дин,динг
динг,тинг ,динк,дин,динг
ду,ту ,дуу,ду,ду
ер,ерх ,ерл,эр,ер
фа,фа ,фаа,фа,фа
фан,фан ,фан,фань,фан
фан,фан ,фарн,фань,фан
фан,фан ,фаан,фань,фан
фанг,фанг ,фанг,фан,фанг
феи,феи ,феи,фэй,феи
феи,феи ,феир,фэй,феи
гаи,каи ,гаы,гай,гаи
ге,ко ,гер,гэ,ге
ген,кен ,ген,гэнь,ген
гонг,кунг ,гонк,гун,гонг
гуа,куа ,гуа,гуа,гуа
гуаи,куаи ,гуаы,гуай,гуаи
гуан,куан ,гуан,гуань,гуан
гуан,куан ,гуан,гуань,гуан
гуанг,куанг ,гуанк,гуан,гуанг
гуи,куеи ,гуеи,гуй,гуе
хан,хан ,харн,хань,хан
хао,хао ,хао,хао,хао
хоу,хоу ,хово,хоу,хоу
ху,ху ,хух,ху,ху
хуа,хуа ,хуа,хуа,хуа
хуа,хуа ,хвоа,хуа,хуа
хуа,хуа ,хуах,хуа,хуа
хуи,хуи ,хуеы,хуэй,хуи
хуо,хуо ,хуоо,хо,хуо
хуо,хуо ,хуоо,хо,хуо
хуо,хуо ,хуох,хо,хуо
хуо,хуо ,хуох,хо,хуо
йи,чи ,йыи,цзи,йии
xи,хси ,ших,си,xи
йи,чи ,йих,цзи,йи
йи,чи ,йих,цзи,йи
йи,чи ,йих,цзи,йи
йиан,чиен ,йеан,цзянь,йиан
йианг,чианг ,йианг,цзян,йианг
йианг,чианг ,йеанг,цзян,йианг
йианг,чианг ,йианк,цзян,йианг
йие,чиех ,йые,цзе,йие
ю,чу ,йыу,цзюй,ю
ю,чу ,йиух,цзюй,ю
юан,чуан ,йеуан,цзюань,юанан
ке,ко ,ке,кэ,ке
конг,кунг ,конг,кун,конг
ку,ку ,куу,ку,ку
куан,куан ,куан,куань,куан
ла,ла ,лах,ла,ла
леи,леи ,леы,лэй,леи
лиа,лиа ,леа,ля,лиа
лианг,лианг ,лианг,лян,лианг
лие,лиех ,лиех,ле,лие
лун,лун ,луен,лунь,лун
менг,менг ,менк,мэн,менг
ми,ми ,мих,ми,ми
мо,мо ,мхо,мо,мо
мо,мо ,мох,мо,мо
на,на ,наа,на,на
нао,нао ,наво,нао,нао
нонг,нунг ,нонг,нун,нонг
паи,паи ,паир,пай,паи
пан,пан ,парн,пань,пан
пи,пи ,пи,пи,пи
пи,пи ,пи,пи,пи
кие,чиех ,чие,це,чие
кионг,чиунг ,чыонг,цюн,чионг
куе,чуех ,чиуех,цюэ,чуе
руо,йо ,руох,жо,руо
сан,сан ,саан,сань,сан
сан,сан ,санн,сань,сан
сао,сао ,сао,сао,сао
се,се ,сех,сэ,се
шаи,шаи ,шаы,шай,шаи
шан,шан ,шаан,шань,шан
шанг,шанг ,шаанг,шан,шанг
шао,шао ,шау,шао,шао
ши,ших ,шы,ши,ши
ши,ших ,шы,ши,ши
шоу,шоу ,шооу,шоу,шоу
шоу,шоу ,шооу,шоу,шоу
шуа,шуа ,шуа,шуа,шуа
шуаи,шуаи ,шуаы,шуай,шуаи
сонг,сунг ,сонг,сун,сонг
суан,суан ,суан,суань,суан
танг,танг ,таанг,тан,танг
ти,ти ,тих,ти,ти
тиан,тиен ,тыан,тянь,тиан
тиао,тиао ,тиау,тяо,тиао
тие,тиех ,тие,те,тие
тинг,тинг ,тиинг,тин,тинг
тоу,тоу ,тоур,тоу,тоу
тоу,тоу ,тово,тоу,тоу
туо,то ,туо,то,туо
воан,воан ,уан,вань,воан
воанг,воанг ,воанг,ван,воанг
воеи,воеи ,воеы,вэй,воеи
воен,воен ,вооен,вэнь,воен
воу,воу ,воу,у,воу
xи,хси ,ши,си,xи
xи,хси ,ших,си,xи
xиан,хсиен ,шиан,сянь,xиан
xиан,хсиен ,шыан,сянь,xиан
xиан,хсиен ,шианн,сянь,xиан
xианг,хсианг ,шианг,сян,xианг
xианг,хсианг ,шианк,сян,xианг
xие,хсиех ,шие,се,xие
xинг,хсинг ,шынг,син,xинг
xинг,хсинг ,шиинг,син,xинн
ыа,ыа ,ыа,я,ыа
ыа,ыа,ыа,я,ыа
ыан,ыан ,ыан,янь,ыан
ыан,ыан ,ыан,янь,ыан
ыао,ыао ,иау,яо,ыао
ыао,ыао ,ыау,яо,ыао
ыао,ыао ,ыаво,яо,ыао
ыи,и ,ыи,и,ыи
ыин,ыин ,ыиин,инь,ыин
ыинг,ыинг ,инг,ин,ыинг
ыу,ыу ,ыух,юй,ыу
ыу,ыу ,ыух,юй,ыу
ыуан,ыуан ,ыуан,юань,ыуан
жен,чен ,йен,чжэнь,чен
жен,чен ,йенн,чжэнь,ченн
жи,чих ,йы,чжи,чи
жи,чих ,йых,чжи,чих
жонг,чунг ,йоонг,чжун,чонг
зи,тзу ,тзых,цзы,тзы
ан,ан ,анн,ань,ан
ба,па ,бар,ба,ба
бан,пан ,баан,бань,бан
банг,панг ,банк,бан,банг
беи,пеи ,беы,бэй,беи
би,пи ,бих,би,би
бинг,пинг ,биинг,бин,бинг
цаи,цаи ,цаи,цай,цаи
це,це ,цех,цэ,це
ча,ча ,ча,ча,ча
ча,ча ,ча,ча,ча
чаи,чаи ,чаи,чай,чаи
чанг,чанг ,чарнг,чан,чанг
чанг,чанг ,чарнг,чан,чанг
ченг,ченг ,чернг,чэн,ченг
чи,чих ,чыр,чи,чи
чоу,чоу ,чоур,чоу,чоу
чоу,чоу ,чооу,чоу,чоу
чоу,чоу ,чово,чоу,чоу
чуанг,чуанг ,чоанг,чуан,чуанг
цуи,цуи ,цуеы,цуй,цуи
цун,цун ,цуенн,цунь,цун
да,та ,дар,да,да
даи,таи ,даи,дай,даи
даи,таи ,даи,дай,даи
дан,тан ,даан,дань,дан
данг,танг ,даанг,дан,данг
ди,ти ,дих,ди,ди
диу,тиу ,диоу,дю,диу
донг,тунг ,донк,дун,донг
донг,тунг ,донк,дун,донг
ду,ту ,двоу,ду,ду
дуи,туи ,дуеи,дуй,дуи
